Carimbo de data/hora,Queremos te conhecer melhor. Como você avalia sua experiência de pilotagem nas seguintes categorias? A escala vai de 0 (nenhuma experiência) a 5 (muito experiente). [Simulador Formula],Queremos te conhecer melhor. Como você avalia sua experiência de pilotagem nas seguintes categorias? A escala vai de 0 (nenhuma experiência) a 5 (muito experiente). [Simulador Turismo],Queremos te conhecer melhor. Como você avalia sua experiência de pilotagem nas seguintes categorias? A escala vai de 0 (nenhuma experiência) a 5 (muito experiente). [Real Formula],Queremos te conhecer melhor. Como você avalia sua experiência de pilotagem nas seguintes categorias? A escala vai de 0 (nenhuma experiência) a 5 (muito experiente). [Real Turismo],Queremos te conhecer melhor. Como você avalia sua experiência de pilotagem nas seguintes categorias? A escala vai de 0 (nenhuma experiência) a 5 (muito experiente). [Kart],Categorize as curvas [T1],Categorize as curvas [T2],Categorize as curvas [T3],Categorize as curvas [T4],Categorize as curvas [T5],Categorize as curvas [T6],Categorize as curvas [T7],Categorize as curvas [T8],Categorize as curvas [T9],Categorize as curvas [T10],Categorize as curvas [T11],"Considerando que algumas curvas devem ser avaliadas em conjunto, classifique agora os agrupamentos abaixo: [T1 T2]","Considerando que algumas curvas devem ser avaliadas em conjunto, classifique agora os agrupamentos abaixo: [T4 T5]","Considerando que algumas curvas devem ser avaliadas em conjunto, classifique agora os agrupamentos abaixo: [T6 T7]","Considerando que algumas curvas devem ser avaliadas em conjunto, classifique agora os agrupamentos abaixo: [T8 T9 T10]","(Opcionalmente) Explique seus agrupamentos das curvas individuais. O que influenciou suas escolhas? Velocidade, tipo de frenagem, linha de corrida, ... ?",Categorize as curvas [T1],Categorize as curvas [T2],Categorize as curvas [T3],Categorize as curvas [T4],Categorize as curvas [T5],Categorize as curvas [T6],Categorize as curvas [T7],Categorize as curvas [T8],Categorize as curvas [T9],Categorize as curvas [T10],Categorize as curvas [T11],Categorize as curvas [T12],Categorize as curvas [T13],Categorize as curvas [T14],Categorize as curvas [T15],Categorize as curvas [T16],Categorize as curvas [T17],Categorize as curvas [T18],Categorize as curvas [T19],Categorize as curvas [T20],Categorize os agrupamentos [T3 T4 T5],Categorize os agrupamentos [T7 T8 T9],Categorize os agrupamentos [T13 T14],Categorize os agrupamentos [T19 T20],"(Opcionalmente) Explique seus agrupamentos das curvas individuais. O que influenciou suas escolhas? Velocidade, tipo de frenagem, linha de corrida, ... ?",Categorize as curvas [T1],Categorize as curvas [T2],Categorize as curvas [T3],Categorize as curvas [T4],Categorize as curvas [T5],Categorize as curvas [T6],Categorize as curvas [T7],Categorize as curvas [T8],Categorize as curvas [T9],Categorize as curvas [T10],Categorize as curvas [T11],Categorize as curvas [T12],Categorize as curvas [T13],Categorize as curvas [T14],Categorize as curvas [T15],Categorize as curvas [T16],Categorize as curvas [T17],Categorize as curvas [T18],Categorize os agrupamentos [T1 T2],Categorize os agrupamentos [T3 T4 T5 T6 T7],Categorize os agrupamentos [T8 T9],Categorize os agrupamentos [T13 T14],Categorize os agrupamentos [T16 T17],"(Opcionalmente) Explique seus agrupamentos das curvas individuais. O que influenciou suas escolhas? Velocidade, tipo de frenagem, linha de corrida, ... ?","Se for possível liste até 5 curvas ou agrupamento de curvas semelhantes entre os diferentes circuitos apresentados? Ex: Tx de Monza com Ty de Suzuka, ou agrupamento T(x,y,z) de SPA com T(i,j,k) de Monza."
11/12/2025 17:51:44,1,5,0,0,3,G1,G2,G3,G1,G2,G4,G4,G1,G4,G2,G5,AG1,AG1,AG2,AG3,"Usei como base de classificação a velocidade mínima da curva, o tipo da frenagem (quantidade/pressão) e se a curva desemboca numa reta longa ou numa outra curva em seguida.",G1,G2,G2,G2,G2,G2,G3,G3,G3,G4,G5,G4,G5,G5,G5,G5,G2,G6,G7,G7,AG1,AG2,AG2,AG3,"Para a pista de SPA eu privilegiei a velocidade mínima das curvas e a tangência (cedo, tarde ou dupla)",G1,G1,G2,G2,G2,G2,G3,G4,G5,G6,G7,G6,G4,G4,G8,G9,G9,G6,AG1,AG2,AG3,AG1,AG4,"Para suzuka, usei os mesmos parâmetros das anteriores e também a cambagem da curva, pois exigem controle do acelerador na saída.","130r de suzuka com T18 de SPA
Pouron de SPA com a parabólica de Monza
Ascari de Monza com Les combes de SPA
"
11/12/2025 18:22:28,2,5,0,0,4,G1,G1,G2,G1,G1,G3,G3,G4,G5,G4,G6,AG1,AG1,AG2,AG3,"Tipo de frenagem para aproximação,  possibilidade de aceleração durante o contorno da curva, ângulo e velocidade",G1,G2,G3,G3,G3,G2,G4,G4,G5,G6,G5,G7,G4,G4,G5,G8,G2,G18,G19,G20,AG1,AG2,AG2,AG3,,G1,G2,G3,G3,G3,G3,G4,G5,G6,G7,G8,G7,G1,G2,G7,G8,G9,G7,AG1,AG2,AG3,AG1,AG4,,
11/12/2025 18:24:06,1,1,0,0,2,G1,G1,G2,G1,G1,G3,G3,G4,G4,G4,G5,AG1,AG1,AG2,AG3,,G1,G2,G3,G3,G3,G2,G4,G4,G4,G5,G4,G3,G4,G4,G4,G4,G3,G3,G1,G1,AG1,AG2,AG2,AG3,,G1,G1,G2,G2,G2,G2,G2,G3,G3,G3,G4,G5,G5,G5,G1,G4,G4,G4,AG1,AG2,AG3,AG1,AG4,,
11/12/2025 19:09:34,2,3,1,1,2,G4,G3,G1,G4,G3,G2,G2,G2,G2,G2,G2,AG3,AG3,AG2,AG2,,G4,G1,G3,G3,G3,G1,G2,G2,G2,G2,G2,G4,G3,G3,G3,G3,G1,G2,G4,G4,AG4,AG4,AG2,AG4,Linha ,G3,G1,G2,G2,G2,G2,G2,G3,G3,G1,G4,G1,G3,G3,G4,G3,G3,G3,AG3,AG2,AG3,AG2,AG3,Tipo de frenagem,"T1, monza t18 spa, t18 suzuka "
11/12/2025 19:11:47,1,2,0,0,2,G1,G1,G2,G3,G3,G4,G4,G5,G5,G5,G6,AG1,AG2,AG3,AG4,,G1,G2,G3,G3,G3,,G4,G4,G4,G5,G6,G7,G8,G8,G8,G9,G10,G11,G12,G12,AG1,AG2,AG3,AG4,,G1,G1,G2,G2,G2,G2,G2,G3,G3,G4,G5,G6,G7,G7,G8,G9,G9,G10,AG1,AG2,AG3,AG4,AG5,,
11/12/2025 19:33:05,2,4,0,0,2,G1,G1,G4,G1,G1,G3,G2,G2,G2,G2,G3,AG1,AG1,AG2,AG1,ângulo da curva e velocidade,G1,G5,G5,G5,G5,G5,G3,G3,G3,G2,G4,G4,G3,G3,G3,G4,G5,G5,G1,G1,AG3,AG2,AG2,AG1,,G4,G3,G3,G3,G3,G3,G3,G3,G2,G4,G1,G4,G3,G3,G4,G2,G2,G4,AG2,AG3,AG4,AG2,AG1,,"T1 de SPA com T11 de Suzuka; T18 de SPA com T15 de Suzuka; T(1,2; 4,5) de Monza com T(16, 17) de Suzuka; T(8, 9, 10) de Monza com T(7, 8, 9) de SPA."
11/12/2025 19:48:11,4,5,0,0,2,G1,G2,G3,G4,G4,G5,G6,G7,G8,G7,G9,AG1,AG1,AG2,AG3,Intensidade de frenagem; ângulo de curva; extensão de curva; velocidade mínima; tangência; entre outras,G1,G2,G3,G4,G5,G2,G6,G7,G8,G9,G10,G11,G10,G10,G12,G13,G14,G15,G16,G17,AG1,AG2,AG3,AG4,Intensidade de frenagem; ângulo de curva; extensão de curva; velocidade mínima; tangência; entre outras,G1,G2,G3,G3,G3,G4,G5,G6,G7,G6,G8,G9,G5,G10,G11,G12,G13,G14,AG1,AG2,AG3,AG4,AG5,Intensidade de frenagem; ângulo de curva; extensão de curva; velocidade mínima; tangência; entre outras,Monza - JPN - SPA (T1T2 - T16T17 - T19T20)
11/12/2025 19:50:09,2,3,0,0,1,G1,G1,G4,G1,G1,G2,G2,G3,G3,G3,G3,AG1,AG1,AG2,AG3,"O grupo 1 se deve pelas duas chincanea que atecedecem grandea retas, estao na mesmo crupo por isso, mas sao duas chincanes que a metodologia de passar por elas é diferente
Na primeira (1 e 2) é basicamente frear no ponto certo acertar os dois apex e acelerar no ponto certo na segunda (4 e 5) alem de frenagem e acelerar en ponto certo, o correto é acelerar antes do primeiro apex perdendo o minimo de energia na frenagem e atropelando os dois apex, o que faz dela uma curva com a media de velocidade bem mais alta que a primeira chicane

G2 - este grupo sao as duas se lesmo sao dus durvas que se quer freiar o minimo possivel para nao perdeer energia e carregar a o maximo de energia para a grande reta que vem deoia delas

G3 - (variante ascari)
Esse grupo leva as 3 curvas que dão nome a variante ascari que tem uma metodologia de faze-la correta que se pode ter informação melhor na internet, pois ficaria mt estenso explicar por aqui, mas é uma sequencia de curvas de alta velocidade onde ae freia apenas para fazer a primeira curva e acelera o mais cedo possivel variando o minimo possivel no acelerador para pegar o ultimo trecho de reta da pista",G1,G2,G3,G3,G3,G2,G4,G4,G4,,,G3,G4,G4,G4,G3,G2,G2,G1,G1,AG3,AG4,AG4,AG1,,G1,G2,G2,G2,G2,G2,G2,G1,G1,G1,G1,,G1,G1,G3,G4,G4,G4,AG2,AG2,AG1,AG1,AG4,,"T1 de monza e t1 de spa
Parabolica de monza pouhon de spa e spoon de suzuka
T3 de monza t6 de spa t17 de spa t8 de suzuka"
11/12/2025 20:25:54,1,5,1,5,5,G1,G2,G3,G1,G4,G5,G6,G1,G7,G8,G9,AG1,AG1,AG2,AG3,,G1,G2,G3,G4,G5,G2,G6,G7,G8,G9,G10,G11,G6,G7,G6,G12,G2,G12,G13,G14,AG1,AG2,AG2,AG3,,G1,G2,G3,G4,G3,G4,G3,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G9,AG1,AG2,AG1,AG3,AG4,,"Chicanes no geral, em que se usa a 1ª marcha, costumam ser parecidas.
Os Ésses de Suzuka lembram os de Silverstone e de COTA.
Curvas retas, em que não é necessário retirar o pé, também são semelhantes em todos os circuitos.
Hairpins também costumam ser parecidos em todos os circuitos.
"
11/12/2025 20:51:55,1,5,0,0,1,G1,G2,G3,G1,G2,G3,G3,G4,G4,G4,G3,AG1,AG2,AG3,AG4,Velocidade no apex da curva,G1,G4,G3,G3,G3,G4,G2,G2,G2,G2,G2,G3,G2,G2,G2,G2,G4,G4,G1,G1,AG3,AG2,AG2,AG1,Velocidade ,G4,G2,G3,G3,G3,G3,G3,G4,G2,G4,G1,G4,G3,G2,G4,G1,G2,G4,AG2,AG3,AG2,AG3,AG1,Velocidade ,T1T2 de Monza com T16T17 de Suzuka
