section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,70.8248,86.01041927710844,121.5457,100.0,12.468697590361447,43.27899759036145,2.0,59.04579003935416,87.875,56.93030677860793,284.8184871626429,166.07760000000053,0
T10,62.2187,112.791562,210.1091,100.0,30.376469999999998,43.274508,2.0,43.63574344215839,117.125,31.8714685080334,159.06586331101795,262.83219999999983,1
T13,96.6659,113.50522962962962,151.9341,100.0,25.555555555555557,37.85765925925926,3.0,25.21116437597855,75.125,30.95764483336668,129.05532571652796,142.31730000000016,1
T11+T12,94.3236,113.42553951612904,141.68,100.0,5.25616693548387,68.33332903225806,3.0,37.272072180587266,75.25,26.83309871314878,177.36719695540444,330.31470000000036,1
T4,92.462,121.22309122807017,189.0364,100.0,19.256965789473686,59.834879824561405,3.0,17.400526754872597,64.25,25.38718122590096,92.32431030743038,326.1169,1
T5,77.7447,115.81899210526316,169.955,100.0,21.43102894736842,57.351223684210524,2.0,32.39606309369825,92.6875,26.78838640887004,98.59555321234872,309.0658000000001,1
T7,101.5488,130.3062840425532,183.3295,100.0,18.005841489361703,65.61952340425532,3.0,31.45143444906206,75.75,26.50683762627242,121.85515220776274,286.41690000000017,1
T1+T2,100.7324,153.6720119402985,249.897,100.0,23.031899253731343,55.917470895522385,3.0,35.27801087316994,75.25,27.06160166008952,211.84793804600616,482.3147999999999,2
T3,133.669,158.13303120567375,196.9635,0.0,0.0,82.21109716312057,4.0,15.529772725079683,52.6562,7.449130644120587,63.99761460784383,525.3426,3
T16,107.8355,148.46990853658536,180.6668,0.0,0.0,100.0,3.0,14.86241910000539,43.625,14.234728816706465,65.87406738320185,283.07720000000063,3
T9,136.8505,152.73978854166668,173.6706,0.0,0.0,62.57761770833333,4.0,16.67728960820511,52.5,17.87897017159786,91.02281732108152,341.2877000000003,3
