section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,57.3739,83.98936571428573,129.4575,100.0,17.54622,56.88514857142857,1.0,65.64096865129623,121.0,60.4841003404912,338.03029512585954,162.11369999999988,0
T16,120.6607,160.6423064516129,195.2239,0.0,0.0,99.60780000000001,2.0,14.110268757670738,40.0,19.469674825546768,59.95078523186613,271.08600000000024,1
T3,150.7668,172.7343925925926,214.0002,0.0,0.0,86.68116666666666,3.0,18.14699368245945,63.0,13.061361892735354,114.84087629542299,515.9732999999999,1
T9,135.8129,159.75231842105262,188.9982,100.0,8.286894736842106,86.65631315789473,3.0,15.474964245804678,44.0,32.518885500254385,119.86972101063698,331.28240000000005,1
T1+T2,112.6421,161.26920555555554,266.5141,100.0,20.71169259259259,64.75669814814815,2.0,37.48833689233149,105.0,60.92229216470292,561.188203588627,483.9039,2
T13,103.1662,121.36772857142857,156.4126,100.0,14.50980476190476,41.25116190476191,2.0,19.119664920367793,55.0,28.66428486641065,86.73374745942571,137.54349999999977,3
T10,57.496,116.72134285714286,228.3665,100.0,33.19327619047619,51.35385952380952,1.0,43.367305956293926,126.0,37.043156708670615,147.10780883742746,258.7013999999999,3
T11+T12,103.9673,116.10679607843137,144.2359,60.7843,1.422529411764706,65.0288294117647,2.0,36.20695720915114,67.0,48.12540458234437,280.91827043685896,324.4380000000001,3
T4,104.3412,134.22546363636363,204.8295,100.0,17.74509772727273,62.79855909090909,2.0,17.65588651467943,69.0,24.841825606783406,87.4334633458099,319.84400000000005,3
T5,82.3529,118.91023695652174,183.0243,100.0,18.456947826086957,63.35889130434783,1.0,28.756399580742098,77.0,23.60837304623801,88.4242600272188,301.7760000000003,3
T7,114.8699,137.98342702702703,196.4141,99.6078,12.432432432432432,59.586624324324326,2.0,28.575183654159847,56.0,35.12275753382429,153.5269824211248,280.62279999999964,3
