section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,69.71488235294117,91.34297846813166,133.14326764705882,93.97923529411764,16.499295936630197,49.009537350314936,1.2352941176470589,71.73712869253082,123.48897058823529,82.1715682613836,452.49159208451584,163.0149529411765,0
T10,65.98270588235293,121.88382293597469,230.73189411764704,99.15801470588235,32.87266695911246,46.07455661648797,1.2058823529411764,47.82666934921635,129.21691176470588,40.820081544622404,286.50593462165205,258.64535588235293,1
T13,100.95413529411765,121.58315649837826,163.52712058823528,93.2641294117647,24.62625069146048,42.325083001165176,1.9705882352941178,28.98526068757115,85.74264705882354,47.83526071094669,200.78392668394426,137.29663235294117,1
T11+T12,99.2888794117647,122.25799565578572,152.64766176470587,81.25720294117647,6.362693173879142,68.3716789087846,1.9705882352941178,41.45906774469821,89.25735294117646,44.53494296800551,245.92435602313896,326.77741176470585,1
T4,104.80053235294118,137.3003438377224,214.01227647058823,98.11995294117646,19.83538240873972,59.832053552849764,2.2941176470588234,25.86400664843279,89.92853823529411,34.07266029293618,196.54821348976145,323.8746294117647,1
T5,81.39431176470588,123.76166642362466,186.9878676470588,97.77393235294119,19.04517784651743,58.54866393866523,1.7352941176470589,40.941108508479225,117.85845588235294,38.41196048829701,227.27603453921535,306.24856470588236,1
T7,112.14506176470589,143.11208130354873,201.36770294117647,98.02768235294118,17.5578208388379,65.26086467659785,2.4705882352941178,33.37720352219811,79.0838705882353,38.49109144358014,201.3289320415106,285.3698647058824,1
T1+T2,111.8621,169.64352152455254,269.56318529411766,99.55017352941177,23.15487052310877,59.99848431174199,2.5294117647058822,37.165462338294745,82.01838235294117,38.4070980049644,266.33437454016195,480.46435882352944,2
T3,150.80895,176.65868642452304,216.5039823529412,1.8685117647058824,0.07620358839084387,85.2488321010843,3.0588235294117645,21.00868849192623,68.12316176470588,21.75415449339405,125.66935866986111,519.3852764705882,3
T16,122.43838823529413,164.0674565237886,199.62435588235294,1.464820588235294,0.06677592879256966,98.15985025264774,2.0,15.543023737433808,43.92830882352941,17.745898695686133,79.92404808320444,278.88775588235296,3
T9,152.6687588235294,170.21817211709458,194.78432352941178,43.97924117647059,2.732390318735702,73.15695828184504,3.235294117647059,21.496301462111063,62.59328823529412,27.933643321684198,157.26110948838883,337.39180882352935,3
