section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,73.93,95.6265741935484,138.5977,99.2157,18.013912903225805,56.87538709677419,1.0,57.25138563491961,89.0,58.88032130637224,434.3635474781482,164.72070000000076,0
T10,65.1713,124.83632702702702,234.6838,100.0,35.241121621621616,54.68996486486487,1.0,40.37239643001754,120.0,33.88091469261619,224.01346153326324,252.39020000000028,1
T5,80.3006,128.636533,192.5994,100.0,21.968628,66.19605399999999,2.0,31.917989846857516,97.0,29.88034881389363,178.88431085505277,308.6403,1
T11+T12,103.4638,125.54626744186045,153.3532,89.4118,8.07113488372093,70.83445348837209,2.0,36.16335651329375,70.0,28.137740939980795,97.82740456940941,320.0176999999999,2
T3,153.7652,180.6016100840336,220.4395,4.7059,0.06261344537815126,84.5608537815126,3.0,19.821613374181776,61.0,13.973829044571657,88.83020920811465,520.7293000000002,3
T16,124.5518,168.36856333333333,203.2425,0.0,0.0,99.6078,2.0,13.273781454396934,39.0,12.581468772699035,28.996423930261706,282.2617,3
T9,152.4681,173.32571428571427,200.0,84.3137,7.182074285714286,84.25767714285715,3.0,14.56098752234485,46.0,23.18079248025588,82.04165142289375,337.4108000000001,3
T1+T2,113.3669,173.75314122807018,271.2978,100.0,24.95355964912281,68.03920175438597,2.0,30.181711099618063,67.0,36.03638085351253,238.0016470768501,481.1337000000001,4
T4,104.6311,141.82466907216494,226.0929,100.0,21.168382474226803,65.25973505154639,2.0,23.344155148355025,75.0,48.57507299864952,459.92403886953645,330.3142,4
T13,102.8763,125.7852,166.5446,100.0,25.154061904761907,54.99531428571428,2.0,19.630055622912,61.0,30.20853833146718,84.16755548991938,142.54960000000028,4
T7,113.0541,148.06158395061726,207.4006,100.0,20.52287407407407,70.99973086419753,2.0,26.582145515493313,61.0,33.41394833110635,197.12906835771463,289.3782000000001,4
