section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,72.44832,94.90543542170974,136.28137999999998,100.0,15.925610171645257,51.87075949529657,1.0,52.25794646660601,97.7375,91.2836810335311,577.3378349473461,165.12737999999973,0
T1+T2,112.15230000000001,173.93691289968032,268.13306,100.0,22.889183201344057,60.0486488896683,2.0,29.037725547233116,61.75,42.874841698826515,298.22097819064726,480.92483999999996,1
T13,104.69063999999999,123.32564291787439,162.58792,99.60784,20.18588695652174,38.64002513043478,2.0,19.531463804338667,60.1703,41.23211836236981,200.53400023133625,140.15431999999993,1
T11+T12,100.38756000000001,124.73099817944399,154.255,98.11766,5.489871913734386,64.94643173171467,2.0,35.74540829524315,79.0875,50.23033906891792,289.105608995139,330.20061999999996,1
T4,104.93933999999999,141.33237438314535,220.09768,100.0,19.698657568609022,59.5010852293233,2.0,18.12852053636219,72.05,37.935467792048506,252.49828248686003,326.02070000000003,1
T5,80.4837,127.98622152582648,191.50072,100.0,19.212122924213737,60.908139297614504,1.2,29.770522900513004,98.9125,38.33161454729019,267.29063801930386,307.54578000000004,1
T7,117.41512,146.4434605933349,203.01978,100.0,16.37084279758556,62.279859465228945,2.0,28.049511223991022,64.03126,53.282860353210104,330.90312971293395,285.7733,1
T10,65.20638,123.1532895010142,231.67620000000002,100.0,32.28741220013522,45.89411736308317,1.0,40.599078004479416,121.05,51.10608715587621,344.92268289821084,257.7038600000002,2
T3,152.69704,179.6977401625228,218.54432000000003,3.05882,0.06063579831932773,81.29060697340337,3.0,16.83320294694767,50.781259999999996,21.45168425227741,162.24676790142263,519.9711199999999,3
T16,125.89456,168.23976695773962,201.74104000000003,0.0,0.0,99.76468,2.0,13.671851585854501,41.08124,25.440536607212813,117.08951169707412,279.38662000000005,3
T9,159.19585999999998,174.712784338874,197.78896,69.80392,2.582031479101592,73.15561069916704,3.0,21.326264381333086,66.4375,34.98115300970916,272.35281869008725,340.59121999999996,3
