section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,73.64,89.75241212121212,128.6107,98.4314,15.496139393939393,52.156851515151516,1.0,53.420536684107965,114.0,74.36541983497077,416.3334807264763,162.59129999999914,0
T13,107.9881,123.11234285714285,161.5854,86.2745,19.757238095238094,37.03080952380952,2.0,20.470947375217023,59.0,30.062957633575966,90.14815133414233,137.70380000000023,1
T4,108.217,134.72970681818182,187.6402,87.8431,11.66666590909091,58.78786363636364,2.0,17.33670371722483,63.0,24.95014397365288,152.93816704971343,318.5779,1
T11+T12,98.9166,121.52690612244898,151.5145,87.8431,6.786710204081634,70.17205510204082,2.0,34.67685489137654,70.0,39.7729781615302,170.37578319392782,328.5673999999999,1
T7,111.3222,141.7921361111111,198.291,86.6667,16.65577222222222,60.47928333333333,2.0,26.306331940238266,46.0,45.307535208003145,209.5563829395898,278.54980000000023,1
T10,74.0291,118.89644390243903,223.27,100.0,27.250121951219516,44.208504878048785,1.0,38.618227147235956,109.0,51.62355679359802,238.43065940222107,263.62699999999995,2
T5,83.1235,124.6783195652174,189.7917,100.0,22.38704347826087,54.433056521739125,1.0,32.52825241819334,84.0,32.860685570169146,195.56297422592428,307.79510000000005,2
T16,118.8144,163.5454516129032,198.7945,0.0,0.0,99.60780000000001,2.0,15.689018874637485,45.0,22.895124489981136,124.8688564857841,279.5043999999998,3
T9,143.1983,167.09268378378377,186.717,19.2157,1.399045945945946,63.63537567567567,3.0,17.930024576601188,36.0,37.4362854739659,160.1430846387967,335.88160000000016,3
T3,151.8273,173.7909388888889,214.786,0.0,0.0,86.8845074074074,3.0,14.465326290616135,47.0,24.57034097793458,105.37970575088042,522.8018999999999,3
T1+T2,119.3942,168.35324117647062,265.1865,100.0,22.798919607843136,57.462505882352936,2.0,26.66186391800858,62.0,42.25492406514892,257.8878761752272,471.9927999999999,4
