section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,63.5233,82.80093683350367,122.91525,89.215675,16.344314330727787,46.57316277705226,1.25,70.43241875990137,124.5,73.99032972078925,347.7866481290151,160.9034250000002,0
T1+T2,110.27505,154.3580938595067,255.4265,94.11765,18.6714284471121,49.73788050410116,2.25,38.82697974661198,80.5,32.12644296814148,209.02186544923012,475.73465,1
T13,98.355825,114.27191185535479,153.3913,90.686275,22.94547013457557,51.56303556606437,2.0,34.83386068812595,81.5,42.84241798461932,150.12358991657982,135.36827500000015,1
T11+T12,100.51689999999999,115.85843298039215,144.5163,35.0,1.8445985490196077,61.01698550980392,2.0,48.42733319586496,91.0,36.3073794515175,152.3055262233094,325.1917000000001,1
T4,105.4284,132.52170306982873,198.5733,91.764725,18.668234936868686,60.17165592061924,1.75,23.978050266598828,70.5,25.455146654634955,118.91882037608329,322.23035000000004,1
T7,100.780125,127.04103085365853,188.939125,85.39215,17.299020365853657,63.92675521341463,1.75,37.27436448714249,88.5,35.472974295349886,179.23708025678533,281.3999000000001,1
T9,131.8036,153.49754499184007,181.780725,59.215675,5.412449630841415,75.34409801493895,2.75,26.88747457119365,61.75,37.69061526931371,164.86120916085437,334.8434249999999,1
T10,64.9653,117.63428332752613,219.35415,98.2353,34.584943005490445,42.92577589932425,1.5,44.66643176043481,124.5,29.011675173595275,182.26558194316038,258.8786,2
T5,80.216675,115.88166312056737,176.733825,95.980375,18.41417046498227,57.157566761968084,1.75,43.56093698207644,124.75,31.76660480634722,190.00553189649307,308.25457500000005,2
T16,112.2969,153.51094921875,188.2944,0.0,0.0,98.23230378787878,2.0,17.676084777562835,47.5,17.998023576720065,75.94610342346508,277.7924999999998,3
T3,142.15685,168.22829768518517,207.063025,0.686275,0.2390793859649123,86.65938698830409,3.0,22.46131034346404,66.25,15.689439467090384,81.42461376453011,519.079325,3
