section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,71.1147,94.34939374999999,130.5562,100.0,16.486922916666668,55.833333333333336,2.0,40.931351198914975,72.75,97.40632036739976,385.9548703903111,163.82420000000002,0
T16,133.5546,174.19666222222222,208.3925,0.0,0.0,99.9477111111111,2.0,11.956490181415399,38.9688,35.099863769379574,121.8347303014096,280.6148000000003,1
T3,141.2375,178.28879625,223.8956,18.8235,1.24509625,84.76470375,3.0,17.985388632107536,56.7188,13.51432070635787,72.43449415998853,522.2292,1
T9,148.3101,173.69584444444445,203.6011,94.1176,8.685546296296296,81.75744074074073,3.0,13.679817989176945,40.6562,27.90366069807521,107.23622574244317,338.0261999999998,1
T10,63.3707,122.18032105263158,238.0331,100.0,43.570692982456144,49.21224210526316,1.0,31.831903305717606,101.375,59.1206802503985,341.8571375180271,254.66849999999977,2
T13,104.1581,121.59175806451613,171.0307,100.0,30.664129032258064,43.16254838709678,2.0,15.456812718126832,48.5312,45.49178396649891,247.6343169555372,136.2275999999997,3
T1+T2,113.283,172.28690394736842,274.7845,100.0,25.96491315789474,65.1186802631579,2.0,27.04102431111672,59.625,44.47403659667391,318.70285813056256,481.5876999999999,3
T11+T12,98.8632,126.57930972222223,164.5686,100.0,9.237473611111112,75.37581666666667,2.0,31.04102131512242,68.25,62.297368902631355,452.394073383261,330.82259999999997,3
T4,104.5777,137.84451875,203.2044,100.0,19.712009375,63.6580859375,2.0,27.00509805284844,63.75,78.08456617534523,466.1531287307515,321.30549999999994,3
T5,80.2548,128.6499876923077,193.3928,100.0,27.481146153846154,63.43891538461538,2.0,22.372381081299004,58.75,61.56411417886611,441.2350777929109,303.8174999999999,3
T7,115.0988,148.4567471698113,208.9952,100.0,21.553830188679246,67.82833773584905,3.0,22.836561388611628,52.8125,41.93014890862929,211.5928056690779,285.9549999999999,3
