section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,56.2676,80.65074736842105,121.1643,62.7451,7.027865789473684,53.01339736842105,2.0,95.02145113444526,127.0,71.32639743271902,478.04277596554533,159.26029999999992,0
T3,132.6543,162.19127857142857,201.9532,0.0,0.0,99.6078,3.0,17.961558021891257,53.0,23.1665773701064,114.6238815948015,510.7334999999998,1
T9,144.686,156.1365717948718,182.414,32.549,2.2926102564102564,87.39061282051281,3.0,19.8556628751465,48.0,15.408301867592659,112.7229511658688,341.12379999999985,1
T10,68.0552,117.58726511627907,219.5087,78.0392,22.325586046511628,48.65479302325582,1.0,41.284874221206906,112.0,34.25998420826352,260.7756534007659,260.9272000000001,2
T5,79.3469,118.00127021276596,181.5366,100.0,19.61618510638298,60.35875531914893,1.0,56.03245773183197,127.0,31.45953867967169,280.84308208239435,298.4490999999998,2
T13,102.7771,119.37584090909091,150.5913,60.3922,13.155077272727272,42.834213636363636,3.0,29.588298824103376,82.0,31.235633212603013,106.14499254187612,139.13620000000037,3
T4,108.0491,134.22716888888888,198.0774,54.5098,12.566448888888887,52.54900222222223,3.0,40.80109795456874,114.0,32.95632337229534,130.03353916412675,315.0855999999999,3
T1+T2,108.5832,160.21492777777777,258.9685,100.0,15.991287037037036,56.13651111111111,3.0,41.17241360363084,88.0,27.821967230982864,218.3029579092274,470.725,3
T16,70.1534,121.6788775,172.4727,0.0,0.0,99.6078,2.0,24.101905778544694,64.0078,33.69336671130734,125.64393279653166,278.5508,4
T11+T12,97.6349,114.43114509803922,138.2162,1.1765,0.023068627450980393,69.85771960784314,1.0,56.03516276827621,114.0,48.19481184840187,269.11128565407097,323.9616000000001,4
T7,93.492,127.47478095238095,185.6794,46.2745,7.413630952380952,55.51818333333333,2.0,45.19995197850506,79.0,39.031237133161184,243.4828964353054,288.241,4
