section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,71.305868,91.66754657709173,132.523532,94.14118,16.274545763444806,46.02901409036603,1.14,65.72559744830205,114.425,82.82722221958915,439.50025375194593,163.1320440000001,0
T16,121.89792,163.97679696802908,198.05585,0.0,0.0,99.39498460709677,1.98,15.981184065788858,47.52625200000001,21.464427914841828,101.49805273012362,279.01324800000003,1
T3,151.60066999999998,177.34830821289964,215.35316999999998,3.6392160000000002,0.11872012921796031,86.47525680030125,3.0,21.138692598011474,69.555156,20.580489282792215,126.02783407391456,518.777784,1
T9,154.20157600000002,171.6526770789305,194.687416,39.050982,2.2029174357156722,72.66530369326976,3.16,23.260998958444528,68.450312,30.95192269015183,169.28894797585997,337.00568,1
T10,66.477154,121.37467567703929,229.23216799999997,99.40392,32.30292543061182,44.931687162827195,1.1,45.63259933866266,122.5325,45.92585879626868,352.78129669125815,258.751896,2
T13,102.27557399999999,121.25036361930916,161.761956,93.45097799999999,23.199295159969424,40.120943359244414,1.96,28.125842489306137,78.54187399999999,51.09503881053498,220.04533149858878,137.64140600000002,3
T1+T2,111.889522,169.50915582270068,265.516594,99.709804,22.368300694251044,59.20586020195182,2.16,38.062982934322854,83.730312,40.92773013734454,303.0637578845498,479.658486,3
T11+T12,101.336388,122.65797578941309,152.44144599999998,71.25489999999999,5.027045929449658,65.31873200407557,1.94,41.595369681312995,86.8725,46.532437104203126,258.24349028844017,327.59915600000005,3
T4,106.57785200000001,137.7456315992216,211.329826,98.06273999999999,18.888307205831396,58.47524229513027,2.0,23.02240256092937,83.68875,34.29493431164099,223.50462412532107,324.05115600000005,3
T5,83.377894,124.89265522762715,187.017016,98.980392,19.768834087150616,58.21639447956111,1.48,37.54735882402834,110.15875,40.466414864776965,260.90876552655595,305.740186,3
T7,111.94415199999999,142.74166046785828,200.522012,96.98039,17.348371039914326,64.71547636938865,2.26,34.13477259842588,79.04031,39.0030485395053,217.44433729216206,285.58029600000003,3
