section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11+T12,95.6283,115.25938301886792,147.6158,100.0,7.0995188679245285,71.48351320754716,2.0,48.26724523409328,123.0,234.60998116772717,1268.4628787341212,326.3919000000001,0
T14+T15,59.678,87.06097916666666,132.845,100.0,20.833333333333332,63.10999722222222,2.0,71.79656081669283,127.0,304.7870491012837,1540.9542079391967,166.3086999999996,0
T4,104.2267,134.61776813186813,213.3288,100.0,21.978021978021978,55.50094615384615,3.0,31.654944433007596,91.0,254.65810820337103,1150.572780735643,327.3529000000001,1
T7,107.6295,134.370185,197.5891,100.0,20.0,71.1274225,3.0,49.49380350142909,113.0,335.47131222479663,1109.4694151773713,289.81550000000016,1
T9,142.8626,160.75779749999998,187.6478,100.0,8.75,88.90192375000001,3.0,36.33407755541812,94.0,163.54461897127482,1199.3167304426804,342.41910000000007,1
T5,77.966,123.03129381443298,185.8244,100.0,24.107540206185565,64.48754226804124,2.0,44.17043011313652,108.0,139.69694078324355,1167.0356486585522,312.1707999999999,2
T13,90.5852,113.17876808510638,160.1358,100.0,31.22236170212766,50.312874468085106,2.0,36.51840046336062,106.0,130.2735373389446,720.4812593903756,139.14309999999978,2
T10,71.5343,115.58384597701149,225.1164,100.0,33.19810689655172,40.80233218390805,2.0,50.44486223681117,127.0,179.89861778752845,1171.3422415733833,259.59929999999986,2
T16,115.8846,158.4985157142857,194.6975,0.0,0.0,99.6078,2.0,36.82622760904202,103.0,233.52691304401128,1119.9069292471415,282.2658000000001,3
T3,146.3493,175.46444895833335,211.4977,0.0,0.0,87.61434374999999,3.0,27.302762368046174,96.0,162.28147999011236,1091.0254985568035,522.1845999999998,3
T1+T2,107.6905,159.99237200000002,263.8132,100.0,24.935948,60.261416000000004,3.0,36.04606891452048,122.0,130.2129939638424,859.137969525022,477.9874,4
