section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,68.8004,92.91541161678902,137.15063333333333,99.60783333333332,19.07498354915616,53.25861088274045,1.6666666666666667,72.07507665536012,117.0,86.30531790817896,534.3973424405634,159.5006333333331,0
T16,126.01153333333332,169.74178880429915,204.05633333333333,0.0,0.0,99.6078,2.6666666666666665,20.156732801440363,59.0,20.103501038119436,81.31270408727947,277.52050000000025,1
T3,152.21126666666666,178.8060557640192,220.79806666666664,0.0,0.0,85.9251633312487,3.6666666666666665,28.000599167943864,79.33333333333333,25.490173193826653,210.54003026622513,521.4541333333333,1
T9,155.67,172.34706938271606,199.68463333333332,61.176433333333335,4.2585893100944086,77.39089392883079,3.6666666666666665,21.31395909136067,61.0,31.207998997116444,169.2727223559515,334.36140000000006,1
T10,66.0639,122.6188742594207,236.35716666666667,100.0,32.500929586360556,52.95344199070038,1.6666666666666667,46.98852444951522,122.0,48.93172777190955,339.33791982715724,258.40396666666646,2
T13,104.69976666666666,122.1651557037037,165.05429999999998,97.38563333333333,21.970081481481486,54.011613037037044,2.6666666666666665,23.014062789121425,65.33333333333333,51.754780595852885,144.52606804362742,137.47420000000025,3
T1+T2,112.8786,172.09844905982905,273.0856333333333,100.0,24.012513903133904,63.44336803418803,2.6666666666666665,39.73870590108655,81.33333333333333,37.75527739100342,248.73381362698981,474.6205,3
T11+T12,102.06506666666667,123.5339606048995,155.60133333333332,71.37253333333332,4.498194718748337,67.59436766625866,2.6666666666666665,44.73815856593635,93.0,42.69986772623099,241.3742328873362,326.14016666666674,3
T4,107.28363333333334,137.3933730367647,210.2261,100.0,19.23438992892157,63.71801223039216,2.6666666666666665,28.317823821830533,85.0,43.761931117429675,356.6959595344306,316.8755666666666,3
T5,81.21616666666667,126.96509008636157,191.81863333333334,100.0,18.923511192589846,64.04370955919121,1.6666666666666667,38.09010444677394,112.33333333333333,44.26475657314021,286.1967683998252,303.5408333333334,3
T7,113.96966666666667,145.2668913580247,204.98206666666667,100.0,17.73097901234568,68.74039423868312,3.0,32.01142939879109,71.33333333333333,42.41951589970593,197.3103875885379,280.0052333333335,3
