section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,68.345175,91.52093509491634,131.692975,87.156875,15.597568603603603,53.53203753539253,1.0,64.40664584680877,111.75,84.54123861157944,590.3477972291823,163.57592499999987,0
T16,124.22942499999999,164.5291613711905,197.150375,2.156875,1.4123789062499998,98.7226866197183,2.0,14.908265721614676,42.5,16.864397405914332,72.4262718176873,276.1652999999999,1
T3,150.862125,175.66610702115952,212.884325,3.62745,1.5178566964285716,87.49383396340735,3.0,23.62525824866077,67.0,15.785476675278835,81.12615268871417,518.568125,1
T9,150.951775,171.22369533397747,195.20105,55.09802500000001,4.089887392661019,77.4064566799545,3.0,21.674566690849602,58.5,25.876363311330774,103.5287377002735,335.1117999999998,1
T10,61.4481,123.2690666393553,229.87144999999998,94.90195,33.47496204150579,50.169793105751104,1.0,42.36435563857498,115.0,40.65377840047812,315.65220077279844,257.33685,2
T13,99.139775,121.47902187835804,162.63825,94.90195,25.522252784705962,46.46668612892644,2.0,23.983774697549926,69.25,50.21175401793441,210.8014675081923,134.8357000000001,3
T1+T2,110.027075,169.21238138495673,262.01649999999995,94.90195,22.335741349524632,65.890056909684,2.0,31.187588369808022,66.75,39.8723242508991,203.27428979803616,480.02365,3
T11+T12,99.7635,122.4725553593122,151.745225,86.7647,6.771053957267689,70.15857343453142,2.0,38.84485922710046,75.25,38.8936293511606,197.75367481542864,326.37812499999995,3
T4,102.584475,138.95786213853472,210.593575,94.90195,19.041292510278087,62.82436741962306,2.0,18.864648019869357,64.50195,31.574109441630995,175.26442466512202,320.2623750000001,3
T5,78.63355,125.73549090562608,189.1966,94.90195,20.415728344478218,61.04869457415519,1.5,37.26411007741711,103.5,33.037085170758345,210.9605456649178,301.4003500000002,3
T7,112.91105,145.66667427692494,199.83025,94.90195,17.301913878246474,70.0775117252537,2.25,24.834996973881292,53.0,30.97543936879576,110.19610147698637,282.243325,3
