section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,73.9223,88.09951265822785,124.2161,100.0,11.7796,48.45371139240506,1.0,56.71439617087999,85.125,54.40898459012961,311.7415999999637,165.91850000000068,0
T1+T2,118.3719,161.19630714285714,263.4852,100.0,18.81108095238095,51.45346984126984,3.0,32.75375588839223,63.0938,25.960877421900236,158.9726609006208,485.1752,1
T13,98.7869,112.77151153846154,153.2311,100.0,19.426849999999998,41.82503269230769,2.0,14.4230472484929,49.0938,15.553499788571317,85.32560131871503,139.45420000000013,1
T11+T12,100.9079,116.78441500000001,143.8697,0.0,0.0,50.27777916666666,2.0,32.68023281106142,58.3125,21.12369777326322,194.47560637404803,329.46720000000005,1
T4,110.6432,133.70533203883494,187.3732,100.0,10.428326213592234,60.49875825242719,3.0,13.729261128737075,52.9062,12.943623444230504,49.93748420154623,326.2492,1
T7,100.0381,134.39561,198.3597,100.0,19.267973333333334,60.540304444444445,2.0,29.47252288377918,60.9375,23.809684427915716,193.36184182504505,285.0143000000003,1
T5,73.5409,115.21747053571428,184.8096,100.0,20.129551785714284,60.43067142857143,1.0,25.84114231756621,76.875,24.037236363988832,113.99228846643028,307.63779999999997,2
T10,69.1005,116.78332,223.6133,100.0,25.775025263157893,42.224976842105264,1.0,38.74622900587728,96.0625,24.31462511996353,146.48081908585695,259.6563000000001,2
T3,142.6108,171.80332460317462,213.962,0.0,0.0,90.50420317460318,3.0,14.340342704360449,42.9062,10.60062462639091,66.239185566591,519.8899999999999,3
T16,119.5697,161.03055342465754,197.3678,0.0,0.0,100.0,2.0,14.29599462417394,41.8438,11.967948538767319,50.42211860564754,279.5039000000006,3
T9,148.4016,166.80373139534885,188.5786,0.0,0.0,62.78157674418604,4.0,17.87902799365223,47.2188,15.737558570248746,58.54361436129237,341.66399999999976,3
