section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12+T13,75.6634,104.62176940078237,150.65998,87.68628,13.542073224573258,58.265138332147934,1.0,32.83752830820846,105.0,44.39439531372385,209.94553052902444,221.43328000000002,0
T14,60.90486,100.68162480769232,154.90655999999998,87.45098,17.5041101965812,57.78507964957264,1.0,37.55891798034757,121.2,36.13270636894066,191.6743603907074,215.47819999999993,0
T8+T9,99.73298,117.6330172010582,150.40514000000002,70.58824,4.393194407407408,63.471442275132276,1.8,46.87757264586102,86.0,54.152531689927436,224.91152350883436,229.77254000000002,0
T20,78.06976,108.50306599556276,169.16914,100.0,23.48786667564935,62.06753160248918,1.0,32.07879503999409,86.0,52.3870099278461,278.32290761241956,189.43798000000007,0
T15,150.22966,168.5969873182502,198.5962,6.274500000000001,0.2210423921794135,79.28069902660748,2.6,10.727094132831414,61.2,18.28722802128335,99.59921329802206,445.6709200000005,1
T2,153.76362,179.96205117721843,199.50101999999998,0.0,0.0,99.60780000000001,3.0,11.475057266934353,45.2,14.870798301337226,64.92788410686616,228.90724,1
T11,66.80246,125.03378193693693,258.00108,100.0,37.8326629571677,48.32859389125968,1.0,37.68821317457323,114.0,36.218625748075354,225.49811852163876,252.69537999999994,2
T10,65.89152,115.19335697791874,228.34058,100.0,27.863449435048153,56.28672237021376,1.0,44.470219752967665,121.2,34.9961296884779,229.10902882163617,274.79346000000004,2
T1,63.053340000000006,105.20066657142857,209.49262,100.0,30.748461428571424,48.49186257142857,1.0,41.72293657216164,123.8,38.3359250796858,237.17993345558693,205.22014,2
T4-T6,130.91172,167.28546269354052,216.59114,93.17645999999999,7.751311148616443,53.44347414001904,2.2,37.41838026409965,72.0,48.35512841594387,268.30431725138857,549.7580800000001,3
T19,129.48196000000002,148.35492651983807,181.43738000000002,90.43138,15.733509038866396,61.18063939595142,2.4,24.014736560116962,72.80156,36.86146238822833,134.50489283244931,201.22120000000032,4
T7,139.15616,145.20995114774115,153.20364,4.0,0.42577,54.41172710622711,2.6,9.592126277416986,66.4,22.055022819402705,70.0103991661329,104.05211999999997,4
