section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,61.883,101.1041282051282,153.2998,83.1373,12.30769487179487,54.07741025641025,1.0,19.762305962226915,87.0,61.80776968589997,332.57235426386677,215.90379999999914,0
T20,76.8215,109.340421875,172.9915,100.0,21.948534375,57.27939375,1.0,22.77931026682255,65.0,53.32512462583443,363.6626635460344,190.58740000000034,0
T7,139.971,144.80592857142855,151.8425,0.0,0.0,59.01960714285714,2.0,22.12760302728296,64.0078,41.30868567084011,140.76299406744755,108.72759999999994,1
T19,134.3786,150.4708125,172.755,92.549,9.199345833333334,62.3039,2.0,18.681450723342596,65.0,54.68833702326318,186.5439648591095,194.59150000000045,1
T8+T9,102.0905,121.29984571428571,154.8028,58.0392,5.053222857142857,66.11763142857143,2.0,35.04869100848301,67.0,49.173087331817385,169.94668226731113,236.05960000000005,1
T12+T13,78.6984,106.69087894736842,151.3313,87.451,11.238392105263157,58.56551315789474,1.0,37.75180257768083,127.0,42.141316490686734,140.4407770589053,228.17089999999962,2
T1,71.4733,108.69198285714286,220.3174,100.0,27.316525714285714,46.03919714285715,1.0,38.74635737393958,123.0,41.245582308713,223.70651420907825,212.23040000000003,2
T10,64.8814,115.87311627906976,227.2145,100.0,24.085727906976746,55.503851162790696,1.0,44.07544261931058,127.0,31.826558422790153,150.9536160515097,278.32569999999987,2
T11,69.6498,127.25090833333333,260.9445,100.0,36.27450833333333,46.786477777777776,1.0,41.12336458468177,127.0,33.38524228370743,229.72070260658896,253.00480000000016,2
T15,149.8589,170.44056875,199.0539,0.0,0.0,83.39866666666667,3.0,20.233069673984787,76.0,42.86058346553491,483.4253940072189,456.3116999999993,3
T4-T6,139.0936,170.1150754385965,215.6405,66.2745,2.84829649122807,51.67526315789473,2.0,31.215303329765863,55.0,34.779541831697856,152.73434015097428,549.8687,3
T2,154.4289,180.12512173913044,198.9776,0.0,0.0,99.60780000000001,3.0,8.284386592347225,32.0039,13.266846168006476,68.69568502703598,229.29780000000005,4
