section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,56.0922,87.94503555555556,135.111,100.0,29.93464,52.67100666666666,2.0,43.063725444985494,127.0,52.857872715664,428.3811847065323,219.21829999999954,0
T7,124.918,130.58671875,138.8724,7.451,0.53921875,45.75979375,4.0,15.189552015491875,67.0,48.932885011525954,204.31531766430015,110.40660000000003,1
T11,68.6351,115.12986190476191,231.4183,100.0,48.50606904761904,38.70214047619048,2.0,48.47535111318394,127.0,46.690716428500664,316.0002436981158,260.8874999999998,2
T1,58.4268,95.23184125,182.7192,100.0,28.8431375,45.4362625,2.0,29.74825875253875,93.0,53.64279017468224,310.1825594330989,215.8445999999999,2
T10,63.1418,102.34699,195.4452,100.0,26.086271999999997,52.54116,2.0,45.42512875116992,115.0,48.0295606849458,329.6997799434177,284.1271999999999,2
T2,130.3883,153.90957678571428,170.5119,0.0,0.0,99.6078,3.0,8.000944555766809,28.0,11.670512095419385,68.5976103719837,242.28959999999995,3
T15,122.446,145.54531964285715,171.8013,0.0,0.0,87.56298928571428,3.0,9.633275663033839,50.0,20.023714148686768,132.9484560383451,452.1284000000005,3
T19,118.0438,130.58117931034482,161.1429,100.0,19.89182413793103,44.94928275862069,4.0,30.726710225590192,72.0,48.427626512507075,228.98474628241246,203.80079999999998,4
T4-T6,119.8444,153.7233411764706,186.6865,100.0,13.03344705882353,62.50055882352941,4.0,31.30432756596181,65.0,45.478014143035224,258.1821856910657,556.0110999999999,4
T12+T13,67.9713,91.30342325581395,127.2908,100.0,14.345646511627907,59.21567209302326,3.0,20.28590184946928,83.0,35.89262369021528,216.51760961221697,222.72289999999975,5
T20,73.7697,96.24982678571429,133.8903,100.0,14.341735714285715,56.60362142857143,3.0,29.80573580620507,85.0,42.63355046496053,231.83782591917014,199.60490000000027,5
T8+T9,92.05,105.28191,129.3584,94.1176,4.686275,65.9705725,3.0,38.754867387626376,65.0,49.1392030781242,302.21540914520745,233.22369999999978,5
