section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12+T13,78.19104999999999,103.01761640440597,145.20485,84.5098,10.548123878835561,48.50757769472856,1.5,28.36383369642335,105.0,42.082112871294825,154.2445687299803,223.83410000000003,0
T14,61.963049999999996,99.7233395960366,152.8649,92.94120000000001,18.981051791158535,56.58385160060975,1.5,41.526398551921716,127.0,55.6856625157305,257.17089554291186,220.81529999999975,0
T8+T9,97.45175,113.94751596153846,149.9275,83.33335,8.353696346153846,55.03920471153846,1.5,50.017777711180145,88.5,52.817877522367155,235.97088905878638,229.80370000000005,0
T19,130.38835,146.99750277777778,181.13225,100.0,16.746548148148147,62.316613888888895,2.5,17.572899809546342,57.0,39.349328811188265,113.09680869616663,201.96704999999974,1
T7,129.90384999999998,135.92799499999998,145.17815,6.07845,0.40523000000000003,63.54900333333333,2.5,14.903410032469163,73.0,36.87774762859813,143.03444387633837,98.49664999999993,1
T2,150.49975,178.04232430555555,198.85555,0.0,0.0,99.56695208333332,3.0,7.813261646488138,37.5,18.299256612995705,65.7597703870924,232.10894999999994,1
T11,68.78765,125.04425321428572,262.52004999999997,100.0,37.50000142857144,41.22337803571428,1.5,42.725506998842874,122.0,39.96824696938374,169.688170059424,258.8645499999998,2
T10,65.41925,115.12164934640523,226.4706,100.0,25.99769385620915,54.83043454248366,1.5,45.773452034353525,127.0,37.935988418989965,203.16462293980092,284.1274500000002,2
T20,63.469899999999996,102.47605875875875,172.8237,100.0,32.03281396396397,56.33729904904905,1.5,40.10627124924386,117.5,43.32001500386234,204.0850549889645,190.6631000000002,2
T1,66.99475,104.59085794346979,214.5304,99.2157,30.16282680311891,43.23566924951267,1.5,42.49265916547021,127.0,39.227005039085995,143.0200549293711,207.02230000000003,2
T15,147.3793,166.9506483731304,195.3765,15.09805,0.5776364864864865,82.14947277617424,3.0,17.413071890351254,65.5,40.22277428403868,314.974920028885,447.9921500000005,3
T4-T6,125.7992,163.02600010131712,217.87595,95.2941,8.890413947990544,51.47292755825735,2.5,36.86105550387623,101.0,59.71124834875512,396.34051945111406,549.6478999999999,3
