section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12+T13,74.94012000000001,102.39349427841746,150.15637999999998,99.52942,15.214178592144425,61.6595527102336,1.4,29.401790597992367,105.0,48.389877041557256,202.0363365775344,223.72240000000002,0
T14,62.583360000000006,99.17917375571096,153.74382,100.0,19.54776220979021,57.85075426790986,1.0,39.30249779421801,120.8,42.90831343481831,212.56178337885027,218.07433999999975,0
T20,76.47364,106.1788534339914,174.85466,100.0,24.133816932813218,58.14102753512625,1.2,31.681705726457363,90.6,48.58050036330081,292.3521993903675,197.86962000000003,0
T15,147.25263999999999,168.08647026030098,197.47158,29.96078,1.4808152745995424,83.55634261904878,2.2,12.153080244908706,59.8,39.8299236302065,256.66630382707643,451.9692799999999,1
T2,151.075,177.11744819806182,196.5591,0.0,0.0,99.388193,2.2,12.131380131971211,46.8,32.59995157006549,154.87884166117453,235.24786000000003,1
T11,65.45968,124.98549004002341,256.69182,100.0,41.16330226399295,44.238015145101336,1.0,39.61150863231064,115.0,33.22187160970007,259.18189271644525,257.72452000000004,2
T1,61.989779999999996,103.6382346751024,217.2488,100.0,33.469347132554226,52.386610653562954,1.0,37.21455883921489,113.6,58.035551993665834,326.5398232111687,211.17659999999995,2
T10,62.70084000000001,117.3455710475865,224.92104,100.0,30.24177036520074,55.778250610422255,1.0,41.771766016647426,119.6,34.70181595933991,223.34952252887282,283.79328000000004,2
T19,124.54718,143.82300270609184,183.89716,92.15686000000001,18.824083712314028,57.945313632027805,2.4,26.687010354481004,72.4,49.52347922865759,248.1671235673502,203.98639999999995,3
T4-T6,130.58822,164.73327024857196,212.73672000000002,98.43138,6.403532969985909,48.679927666494805,2.4,33.50027350393095,75.60155999999999,52.207526218477234,261.8460301106069,550.1261200000001,3
T7,129.02878,137.2296843226444,149.31869999999998,31.99998,4.092900401392962,54.7667875104086,2.4,19.077686163459873,71.6,57.925579761747734,224.22671175046153,104.61668,3
T8+T9,93.15176,114.77146821292338,150.57604,90.74510000000001,8.856971842855291,68.85470563354973,1.4,39.2547783488886,94.8,81.33669854095716,535.8342784633096,237.6732199999999,4
