section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12+T13,67.1931,99.12900459770115,138.7884,100.0,20.072119540229885,64.85913793103448,2.0,26.989241294398408,103.8125,34.4849337644018,181.4442022455358,227.92270000000053,0
T14,59.968,91.57530107526883,138.8037,100.0,24.764916129032258,55.5935064516129,2.0,37.91081710094565,118.25,38.26700599471146,210.94700896596797,221.1864999999998,0
T20,72.9076,97.71728961038961,149.7673,100.0,20.550037662337665,64.65495324675325,2.0,37.34594583436848,99.125,32.9671746120509,238.4861201760761,199.83710000000065,0
T15,126.5965,147.6302547008547,177.5845,86.2745,3.4322111111111115,80.18769743589743,3.0,8.44954277178759,51.75,22.23355985368627,128.8122255835324,452.9239000000007,1
T7,113.0465,118.85230833333334,131.1437,0.0,0.0,61.862738888888885,3.0,13.349109282323994,65.125,38.77138486730272,167.51692713593494,110.47440000000006,1
T2,141.9318,162.32179821428574,178.6679,0.0,0.0,95.68627678571428,3.0,13.424689791936139,53.9688,21.26807114775448,92.38661840506202,235.92700000000013,1
T11,63.2105,111.39608988764046,239.1241,100.0,38.54152808988764,40.753467415730334,2.0,49.89493433861939,154.25,50.91119052974731,254.52529883891205,263.4315999999999,2
T10,62.2644,105.81188921568628,206.4698,100.0,25.163397058823527,52.46059019607843,2.0,52.33654301322593,140.125,33.957483021690436,338.24093216787725,288.74199999999973,2
T1,62.5925,100.97211707317075,212.4361,100.0,36.38450487804878,45.40889512195122,2.0,38.20919174288299,110.0,32.498799662977554,193.46805256223382,217.49159999999995,2
T19,112.9397,128.1811951612903,154.2,100.0,10.366853225806452,65.4269435483871,3.0,20.061378227697436,55.0625,31.918860443104126,134.2118390967854,206.89879999999994,3
T4-T6,121.2329,147.25581458333332,185.5344,89.8039,8.022875,49.281047916666665,3.0,35.89134084852418,58.25,36.430150456161755,187.33944073897476,558.0792999999999,3
T8+T9,99.2981,107.18909047619047,131.9753,98.0392,8.912230952380952,62.53500952380953,3.0,40.63514322893193,67.375,58.008151431344174,413.1671821102474,237.35240000000022,4
