section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12+T13,77.47005,104.13559882645805,151.49540000000002,100.0,14.859983179231865,59.346073364153625,1.0,30.560592894985284,99.5,43.346217508347415,235.6620661757889,221.85254999999984,0
T14,64.38159999999999,101.29518159879336,155.1232,90.0,20.967528695324283,54.920282503770736,1.0,36.92064906357784,117.5,37.03762924539227,209.1918571895675,212.82574999999997,0
T8+T9,100.515,117.93757258064517,151.81965,80.5882,4.17186064516129,62.75936778801843,2.0,46.054447303982,79.5,46.79449054390592,234.21324700512645,230.51675000000012,0
T20,79.10275,108.10906443965517,165.04919999999998,100.0,19.915272844827584,53.93085193965517,2.0,30.15129593278642,87.0,42.823391038151314,183.17709420484738,195.86805000000004,0
T2,153.49815,180.04098888888888,198.33295,0.0,0.0,99.6078,2.5,7.9395847525769305,34.5,11.742561580644411,42.014768914078196,234.04044999999996,1
T7,136.43475,142.42811023809526,151.3352,20.5882,3.152195,53.19047309523809,2.5,13.123783474326231,57.5,32.05845323024757,87.05274850472568,110.60694999999998,1
T15,147.68065,167.8712534915439,197.14655,7.451,0.29620425531914896,79.23256074740863,3.0,16.000066433783488,59.0,25.660340780091587,105.977430246986,443.7678499999997,1
T19,132.4445,149.16931458333335,174.12835,95.2941,13.019608333333334,63.09311958333333,2.5,22.822800271864192,65.5,48.08109950263954,159.47387399411193,200.4387499999998,1
T10,61.7304,116.44814589603283,228.14525,100.0,28.371555266757866,58.70038857729138,1.0,39.26586146880429,117.5,35.86304909751995,213.43378619564405,283.8285500000002,2
T1,60.09385,105.1001239408867,218.85255,100.0,33.59161349753695,49.469705714285716,1.0,39.418566177913405,118.0,40.612370864440976,142.32784727697887,213.06745,2
T11,69.9588,126.92638873873874,261.4519,100.0,38.961165728228224,46.44702361111111,1.0,37.75622682283901,115.0,35.605982222167725,203.1633937626045,259.6017499999998,2
T4-T6,138.57864999999998,168.34462066276802,217.28845,90.9804,7.02404142300195,54.711796393762185,3.0,37.59083634468823,62.5,31.626435177912718,213.8052825510387,549.9541500000001,3
