section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10,120.431825,135.15221764367817,154.806575,44.90195,9.619417647783251,29.309905,2.0,16.598052235555986,64.5,40.62315720728154,135.71813826824308,103.6128749999998,0
T12,159.14015,171.54934952586208,181.91425,5.686275,0.28431375000000003,99.19114124999999,3.0,15.076876989035723,56.25,61.96054141936001,296.7173938629078,129.58887500000003,0
T16,101.03569999999999,125.20609558198623,169.1825,62.74510000000001,5.11753518387796,61.67078305005413,1.75,23.200931926949366,77.75,33.15016932273217,168.20997212852603,315.2868249999998,0
T13,141.33859999999999,152.21446991850533,173.264275,59.411775,7.64051698967207,61.27657278269964,2.75,21.314076136006246,69.25,40.71330499240679,207.10658727834183,182.02952500000004,0
T6,148.39780000000002,166.2050616158524,221.6907,90.882375,25.38932184742099,54.173186411824275,2.5,17.26481428629986,53.5,52.781071784762396,214.98007140836697,176.41602500000005,0
T4,155.13655,174.6079315857862,193.05712499999998,0.0,0.0,98.84412960526316,3.0,20.786318963549867,56.5,56.760182775374744,176.70151457220518,166.94620000000003,0
T11,109.027625,120.34085294671202,141.1631,36.274525,4.152151734693877,58.628352030045356,2.0,26.27038128838167,76.75,68.69938689599734,369.6836877983044,159.07720000000006,1
T7,103.431375,118.84414341670237,154.53765,77.74510000000001,11.949951230420693,56.44664101150612,1.25,23.827777385362047,79.75,52.320500286876786,298.58756832406834,184.08312500000005,1
T8+T9,86.419475,120.28376298841698,177.847725,96.2745,19.02680828957529,63.122783401544396,1.0,38.8696969912952,84.25,63.851187078952,380.1110198747242,225.29357500000015,1
T1,74.38582500000001,117.62037699189449,242.6528,100.0,32.352309479909685,50.52417968707037,1.25,36.538841639141644,109.25,41.98231730876483,284.84542469569016,259.7213,2
T15,81.81507500000001,103.2396732387709,157.934675,86.568625,14.738407347605225,55.06469196649097,1.25,34.124639775438276,112.25,40.13671233032427,218.4644836416496,205.78674999999998,3
T14,88.38215,127.64343480990274,208.937975,96.078425,34.49129309515915,44.04577089301503,1.0,30.027653147713714,94.75,42.21781845097245,200.77931889593992,184.15870000000007,3
T3,85.309375,117.65124353453233,200.19265,95.39215,23.746871280613767,50.60425189850605,1.25,38.69323691254118,109.0,41.590760341410615,258.80569127384507,250.247975,3
