section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,97.4289,128.11392857142857,173.3577,27.8431,4.523807142857143,65.92434642857143,2.0,31.028481527611884,63.0,66.43568091580217,282.908805031444,187.62570000000005,0
T8+T9,74.2504,106.21590512820512,167.01,71.7647,15.666166666666667,54.85167692307692,1.0,52.09682194426091,114.0,51.98852514282215,349.82412804870216,224.3755000000001,0
T16,101.9837,118.6590875,158.6023,33.7255,3.611110416666667,60.5637125,2.0,33.18199104772995,85.0,19.06119099213343,146.5337345999035,307.70189999999957,1
T15,79.7971,92.394905,132.5704,67.451,8.54902,56.735285,1.0,32.98505018759557,92.0,24.97012355560161,122.18063888832044,203.14300000000003,1
T3,88.0522,106.04675476190477,155.0164,58.8235,10.672266666666667,44.46311428571429,1.0,29.188926926231428,74.0,23.927640929312297,127.89185070567554,244.46449999999982,1
T7,101.1521,115.8872724137931,154.8333,48.6275,9.695744827586207,45.97700689655173,1.0,25.743414071655867,85.0,27.272020045124997,107.17954669733768,176.20409999999993,1
T11,106.0731,112.45776400000001,131.0445,29.0196,2.4,54.698032000000005,2.0,14.9956263790291,58.0,22.621618522102235,86.4650796034799,150.19680000000017,2
T10,110.2922,122.89855,143.8926,28.6275,10.85784375,39.87744375,2.0,20.177242901074425,55.0,18.63640264849373,52.28935932703616,102.99490000000014,2
T6,134.8669,150.34019130434783,198.1537,61.9608,19.01108695652174,50.45182608695652,3.0,18.6277867380094,50.0,22.201166386799933,120.2259081748768,177.62040000000002,2
T4,142.2293,160.63935555555557,182.3606,0.0,0.0,93.37687222222222,3.0,19.76695063117874,56.0,23.52619832707942,74.32509987333131,154.6637999999998,3
T12,155.8556,158.48428,165.0416,0.0,0.0,74.14377333333333,3.0,15.231842622914606,35.0,24.404701357283514,146.82854684593903,126.13720000000012,3
T1,71.5572,109.3740659090909,228.5801,100.0,29.84848181818182,47.13011136363637,1.0,43.17180660318156,126.0,30.570364529488298,160.04762505077576,258.2425,4
T14,83.4592,111.84049333333333,181.7197,71.7647,21.69935,33.084963333333334,1.0,34.35401870721249,85.0,25.886567691436145,130.9282803352093,179.0549000000001,4
