section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10,115.8541,128.3126,153.8643,78.0392,13.385626666666665,33.51634,2.0,27.259773258324035,79.0,34.46938778801686,78.13430451728428,99.03250000000025,0
T13,133.5164,147.6365818181818,175.9365,94.1176,12.477713636363637,56.06059090909091,3.0,19.075976601440395,77.0,35.1104913235875,179.00613006091714,173.19969999999967,0
T15,77.8897,95.31338500000001,124.979,63.9216,7.1372575,59.06861249999999,1.0,34.816661220926434,91.0,43.80998227124227,225.28204715230405,209.79199999999992,1
T11,116.2814,124.4389125,141.6419,34.1176,2.4019583333333334,59.3137125,2.0,36.958162793914006,77.0,63.534784223704186,270.0206382021217,161.14359999999988,1
T16,89.1127,123.3419255319149,170.7942,57.2549,6.441389361702127,63.07882978723404,2.0,36.51333941232035,94.0,61.13264672556007,411.42223640617357,310.08550000000014,1
T7,99.7711,117.49472758620689,158.2284,92.549,15.496958620689654,58.29612413793104,2.0,29.76031370308675,88.0,69.24927128574781,265.3489990225334,179.37299999999982,1
T8+T9,90.1961,124.33028181818182,182.9786,100.0,22.23410909090909,61.68744242424243,2.0,39.91229600403575,78.0,63.163646913442044,347.19495314729494,221.04739999999993,1
T1,78.0117,120.66853499999999,249.9657,100.0,34.8431375,52.4117425,1.0,45.05517967424678,115.0,56.598256298122216,260.4657079048294,255.87290000000002,2
T3,86.1753,120.1238342105263,206.981,100.0,27.884415789473685,52.23940263157895,1.0,38.745375532801454,105.0,38.1866926146577,207.69820213862147,243.99019999999996,2
T14,87.3426,133.14200384615384,212.7337,100.0,38.40120384615385,36.30466538461538,2.0,37.16314366133529,113.0,39.476760474560905,175.1971902074867,179.84450000000015,2
T12,162.707,176.08202857142857,188.098,0.0,0.0,99.6078,3.0,6.035675577839989,34.0,19.975018877194127,79.95247856381641,130.89379999999983,3
T4,157.4502,166.72167368421051,184.8173,0.0,0.0,79.56654210526317,3.0,29.65133073139506,67.0,36.187710232678484,164.59040939961417,170.19460000000004,3
T6,132.0592,160.88386666666668,223.0106,100.0,26.218485714285716,46.08775714285714,3.0,63.56363758984078,127.0,94.58037650015183,578.9386141647989,175.56279999999992,4
