section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,126.6346,139.09028727272727,170.5806,81.1765,13.062392727272726,60.99821818181818,3.0,15.58819602535507,47.4688,19.542075051304487,57.59433378022369,183.05999999999995,0
T6,126.978,145.45958775510204,204.9134,100.0,30.484191836734695,55.11004489795918,3.0,18.351854642037296,54.6562,29.418582953446826,130.97134296482741,173.25929999999994,0
T8+T9,73.1212,105.15381931818182,172.8771,100.0,22.39750340909091,49.46078863636364,1.0,40.92175661715792,83.625,45.45505783770478,212.755336974875,225.76970000000028,1
T1,63.4165,112.7762427184466,243.0686,100.0,33.38282912621359,42.493816504854365,1.0,44.16329367378914,129.0,40.81448273937823,224.05194975922245,259.5157,1
T10,94.0261,110.83505,142.9923,62.7451,17.3333375,34.882347499999995,1.0,14.684906484602891,46.9688,22.772078944011906,67.09554273956115,106.8443000000002,2
T16,97.2915,122.76906666666666,165.7969,25.098,2.821351851851852,54.070441666666675,1.0,27.42542456512097,83.25,24.935048619564494,169.5385198984233,318.11740000000054,3
T15,82.5132,99.78533409090909,145.3727,40.0,9.567735227272728,42.30837954545455,1.0,28.39637956651288,89.0,27.95206163183349,109.06359866629968,205.84799999999996,3
T14,89.6391,114.63398181818182,198.3825,100.0,29.53654090909091,29.44147121212121,2.0,32.92189894602794,86.0625,31.25333004413807,165.99466458153344,184.97940000000017,3
T3,90.9361,107.92438085106383,163.1037,89.8039,12.040047872340425,36.962872340425534,2.0,33.02583354506988,91.1875,27.058464471404214,126.32207842013355,249.0884000000001,3
T11,106.5919,116.20253859649124,136.3394,35.6863,3.6945333333333337,54.77811754385965,2.0,26.223173496492546,77.4375,36.708149065805806,132.33417478069205,158.90520000000015,4
T7,102.8153,112.6988231884058,131.3878,66.2745,4.00113768115942,53.7141231884058,2.0,18.799983016361637,72.4375,33.931221222574194,114.69724025973855,187.1550000000002,4
T12,154.4594,157.61875294117647,168.9937,0.0,0.0,71.31487352941177,3.0,7.287584575091308,28.5156,13.871087555302795,56.769397681707424,128.87660000000005,5
T4,134.9126,153.96488222222223,179.0417,0.0,0.0,87.90414222222222,2.0,13.359249317107844,35.8438,11.752959346130636,36.12992896312903,167.2799,5
