section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,132.2118,152.03000204081633,184.4282,72.9412,10.028014285714287,43.377338775510204,2.0,27.719038403534725,85.0,49.1728655630568,342.1079907192959,184.20479999999998,0
T6,153.5515,167.0388738095238,210.8568,100.0,25.602240476190477,63.60409523809523,3.0,25.63866415114559,71.0,47.59299677159864,301.423207459343,174.33040000000005,0
T14,92.8893,125.83181034482759,204.4556,100.0,31.304936206896553,30.81135172413793,2.0,43.89813146886882,111.0,81.26610689754446,446.2699081881096,180.64059999999972,1
T1,66.5064,115.43502988505746,238.3001,100.0,38.40883563218391,50.196063218390805,1.0,46.400087478440064,127.0,44.57686995774578,411.8403522637528,258.31440000000003,1
T15,75.082,102.01650394736842,148.4932,100.0,11.620228947368421,45.345702631578945,1.0,44.95007775913497,127.0,74.67242804885004,500.69472210324693,206.36460000000034,1
T16,102.6551,123.89578817204301,167.2389,69.0196,5.017921505376344,60.44695806451613,2.0,39.29418148265173,127.0,75.46402583388758,328.40495122088436,317.00559999999996,1
T3,84.4205,117.58602307692308,194.5373,100.0,28.340873076923078,46.29460512820513,2.0,51.43414689627297,127.0,65.37755061392888,483.63258585542144,248.19159999999988,1
T11,110.4524,119.0444568627451,137.4228,75.6863,4.913496078431373,62.506713725490194,2.0,43.777488454195634,115.0,101.78723683298688,579.556399261901,161.26519999999982,1
T8+T9,91.31,120.40236944444445,178.3474,100.0,22.55991111111111,59.17754583333333,1.0,46.17497492066188,99.0,63.61505112909457,486.7005320282504,223.6872000000003,1
T10,123.1174,133.989228125,154.406,81.9608,7.6348062500000005,28.553915625000002,2.0,30.278376607245,118.0,78.28522830769455,233.60219255783358,103.38340000000017,2
T7,102.8,116.8716,141.1231,88.6275,6.370942622950819,59.17710491803278,2.0,39.1381780149797,124.0,75.10388855186093,326.27942174209477,185.56140000000028,2
T12,158.5336,172.43138064516128,183.0014,0.0,0.0,99.60780000000001,3.0,14.05151932532182,57.0,86.30547516424927,392.0549543615573,132.26469999999972,3
T4,149.6529,167.18196216216216,187.9759,0.0,0.0,96.26917297297297,3.0,27.673189703090937,74.0,70.97127072046095,353.8537185484561,165.7276999999999,3
