section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T16,104.0665,123.21742391304349,162.6001,100.0,6.521739130434782,75.98462826086957,2.0,30.96947010117629,92.0,85.35911884382138,390.0434106617912,309.12770000000046,0
T13,124.4984,135.010916,153.5515,100.0,12.0,68.799976,2.0,29.055987220170877,94.0,131.37802207895427,468.30859837534734,181.4438,0
T15,74.1131,100.220685,154.2382,100.0,27.5,65.60781499999999,2.0,56.91053843294659,107.0,126.15713951520601,578.2904616895705,208.36770000000024,1
T14,85.7633,116.10879310344826,197.2763,100.0,34.48275862068966,21.622710344827585,2.0,40.29814009058353,111.0,120.26007347313231,601.3936779015494,176.8398000000002,1
T8+T9,76.5545,105.74843421052633,170.3593,100.0,26.31578947368421,64.64393947368421,2.0,52.35146412693977,123.0,162.53074242900257,583.449891621233,217.87750000000005,1
T3,72.4956,108.98360925925925,167.4754,100.0,30.617283333333333,45.432081481481475,2.0,45.87512048500621,113.0,154.46520431327153,715.1876352731191,249.7256,1
T1,62.5162,113.06970461538462,238.9334,100.0,43.07692307692308,39.185507692307695,1.0,49.91512057873567,127.0,123.59633070649598,906.5706416554877,261.3051,2
T12,155.7946,167.49624666666665,176.3867,0.0,0.0,99.6078,3.0,27.24527697445839,75.0,128.28791373435135,325.71057008909725,131.8469,3
T4,140.3601,159.1552157894737,177.4777,0.0,0.0,94.09696842105264,3.0,33.249979646390464,81.0,207.80250832877363,447.7381870443011,161.15589999999997,3
T6,118.2193,147.7765,214.6868,100.0,43.333333333333336,21.18954,2.0,48.90916693522682,91.0,174.1497483254045,616.6783126161802,166.8492000000001,4
T10,111.0552,123.662925,146.2654,100.0,18.75,47.15685,2.0,50.251189123730775,90.0,137.69084118738698,439.65658733664833,101.88279999999986,5
T11,100.9766,116.849936,137.2091,100.0,12.0,71.68624799999999,2.0,47.826815027481196,95.0,163.57249298956663,483.7831556022571,157.1817000000001,5
T7,89.3645,112.32797714285714,147.7455,100.0,21.70308,56.44816,2.0,52.79614333865764,101.0,179.21163736935804,514.8705555735376,180.01440000000002,5
