section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12,129.9687,140.6206923076923,154.6349,80.7843,7.330315384615385,52.081430769230764,3.0,14.813467498252551,43.0,52.438315542087416,127.25824810509712,129.4366,0
T11,92.4392,107.8023951219512,134.8974,0.0,0.0,62.97462926829269,2.0,36.11285903838268,115.0,56.46163429744362,197.25123759442343,156.8352,0
T13,111.4366,127.8884076923077,156.7025,67.0588,11.533433333333333,59.376548717948715,2.0,21.15946078355263,50.0,46.02705472828908,147.9940336189536,182.23659999999973,0
T4,126.7567,141.9623090909091,165.7664,0.0,0.0,74.17703333333333,3.0,38.52040364064751,82.0,50.48433944858158,200.79037973305702,167.3823000000002,0
T7,99.2905,112.36445652173914,127.9393,61.9608,3.6317130434782605,59.76127608695652,2.0,20.82980519385287,85.0,51.27858068129167,225.33860762364733,184.56639999999993,0
T14,71.0536,104.26488571428571,181.0025,85.8824,26.986797959183676,35.71027142857143,2.0,29.845729024487532,86.0,26.799148090507227,148.3118770848815,184.73280000000022,1
T15,69.3904,96.9052918032787,152.6589,100.0,18.3735131147541,48.8460131147541,1.0,46.54321858419873,127.0,46.576752047113395,275.1875535752497,204.74009999999998,1
T1,57.6028,98.04133055555556,210.071,85.8824,27.07516111111111,49.55880555555555,1.0,44.37704443007225,119.0,42.376250579977324,230.80492386659262,259.80609999999996,1
T3,71.664,97.62537428571429,166.331,89.0196,17.84873857142857,41.88234142857143,2.0,41.88365076470872,111.0,66.18817199482454,309.34863301362753,246.68550000000005,1
T16,97.1847,119.84566857142856,148.3177,63.9216,3.484594285714286,59.91594428571429,2.0,44.980094232121836,127.0,58.5046989023441,255.55552398722088,314.2084,1
T8+T9,68.2231,102.16018644067796,164.0269,95.6863,19.029576271186443,54.4034406779661,1.0,44.86975808727629,89.0,48.106135878908006,220.06241553238166,223.09919999999966,1
T10,87.4876,105.64819655172414,132.6085,97.2549,18.71535172413793,42.582810344827585,2.0,29.294691345918135,100.0,64.38684262720408,367.06938675393036,108.72980000000007,2
T6,94.3008,134.88657777777777,207.7974,97.2549,39.50980277777778,24.89106111111111,2.0,31.319979182888034,79.0,37.566910439744156,298.8986810551615,169.09820000000013,3
