section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10,118.84870000000001,130.2433496279762,154.61012499999998,74.411775,13.291160550595238,43.43601631944445,2.25,18.993378221730843,66.453125,31.978290991087466,120.90251230644239,105.67370000000005,0
T13,139.67345,153.45752166509087,178.328375,74.70587499999999,9.568025274576613,67.11671879586189,3.0,21.61456268921859,76.0625,46.9845809581944,223.58091085752432,182.68297499999994,0
T6,148.300525,167.09825959419777,219.897775,88.0392,24.596017912457913,50.63077888066714,3.0,23.37326721064114,71.75,39.81447332646037,185.10342536331837,173.99312499999996,0
T7,105.10795,120.36724998106061,151.28365,73.235275,9.3998075,53.60983774621212,2.0,20.455938533995106,83.859375,34.27214362967876,150.99185028442784,183.62107500000013,0
T15,80.7927,102.3151882095254,161.070425,92.74510000000001,16.378198663584012,48.815367462683554,1.5,35.246458582242745,113.828125,43.03939370901673,194.64057193064542,205.41694999999993,1
T16,101.228375,128.12839560158304,171.39695,69.313725,6.634661635753313,65.17163334646838,2.0,25.202806727333986,88.734375,32.76403591135827,232.43164280086947,315.70422500000006,1
T14,87.47807499999999,126.55557626955672,211.6846,99.90195,37.86286391731856,45.762761660691005,1.75,33.03990473315226,94.203125,43.02979460062654,224.6260819605665,184.4421000000002,1
T1,69.451425,116.50011028790665,243.373775,99.411775,36.186586183235846,50.93285707316914,1.0,36.519283786812096,109.21875,34.53391626516246,306.4652594764066,257.0944,1
T3,84.97749999999999,117.16929243721117,198.93185,97.74510000000001,24.17761128151999,49.09901320549528,1.75,36.69977203658128,101.0,41.562455833434534,233.7888755075718,249.41207499999996,1
T8+T9,85.66035,120.10550622501992,178.889125,97.84315000000001,21.817437275953285,61.277714894253506,1.5,42.86729698530107,87.921875,55.01872369915287,322.3609780717087,223.73037499999998,1
T11,110.64507499999999,122.39039147493904,141.617075,47.9412,4.164036418178382,61.66910725846418,2.0,24.014456912043887,75.09375,75.32079289783879,464.78338948841554,157.1926249999999,2
T12,161.8677,174.0952961931818,184.57505,15.686275,1.52267109375,98.15866953125,3.0,8.849481069466222,42.02345,24.735787807400783,94.27504990401538,131.32524999999998,3
T4,155.8671,173.40500643086685,192.20835,0.0,0.0,96.0199393597561,3.0,21.427512679859184,51.578125,26.019150441159873,136.3458648606363,165.25420000000003,3
