section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T10,111.3508,125.41624295544733,153.3093,80.39215,19.5135194760101,42.18070511589105,2.0,17.63710018326775,64.75,51.797271082529804,173.26569905651596,106.43252500000006,0
T13,128.488575,144.37447776430977,168.26505,75.686275,10.058407548821549,59.89575728114478,2.75,19.946333440453486,57.50195,62.95557126240385,260.91703371605035,183.74869999999999,0
T6,148.6553,166.9163139863831,219.5945,87.156875,24.164615626529987,38.381565436301514,3.0,24.93026420830417,71.25,40.91298450609341,123.33910936208474,172.814575,0
T7,104.419375,118.48340669516232,144.02609999999999,54.215675,6.910336295473432,52.33555944769139,2.25,21.939317285442044,87.75,54.12908678117104,196.24751713510133,182.793675,0
T15,81.065475,100.91793023426335,152.933525,89.705875,15.677766790132871,52.73915417423326,1.5,29.63064136855108,99.5,42.262373613481174,211.79939509695402,203.64995,1
T16,97.997275,125.14013996183206,171.85665,71.666675,6.756092840738155,64.88623822363104,1.75,27.931720124945155,89.75,43.27666849463667,247.98480205872647,315.51800000000003,1
T14,85.145325,123.78955453952088,209.575025,94.41175,35.9863280599713,39.62549487221946,1.75,35.44434716205477,98.0,45.714908579864115,226.76534902795208,185.13827500000002,1
T1,69.1329,113.04567901041668,238.1571,96.37255,31.753430266235505,45.77966335021749,1.25,40.638981772528666,113.25,49.350548388690456,423.75007736976664,255.65725000000003,1
T3,82.71915,114.34776880151598,193.82965000000002,90.88235,20.90270919105691,41.52081877576563,1.5,41.59116193507071,109.25,46.677452766389735,282.016217611453,247.55565,1
T8+T9,85.77475,117.93349240047216,178.3322,93.333325,19.610301603958074,59.53212333315429,1.5,46.68785582326767,102.5,65.2701694724013,527.422053173958,220.6879,1
T11,108.348575,120.77886481937227,140.671,57.15685,6.741606978625467,59.94632998928994,2.0,33.89045243297844,99.25,76.27441027763342,491.15398137742375,156.31460000000004,2
T12,154.99925,168.05648679688431,181.160825,11.7647,1.4705875,92.10818779325513,3.0,8.423667408451553,45.75,26.25024145688356,121.17604650202261,129.73300000000017,3
T4,147.810325,169.06709847538502,190.08355,0.0,0.0,98.38931845238095,2.75,23.061674031820456,62.0,57.03846705503142,393.91495810145557,164.82640000000004,3
