section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T16,100.2441,122.97398600000001,168.6961,100.0,2.5647059999999997,61.568605,3.0,51.42845893961293,127.0,68.12496667681991,632.7961452733374,317.09829999999965,0
T13,137.5296,149.75967916666667,176.8521,100.0,9.96731875,52.36109583333333,4.0,46.32783333896217,127.0,135.33128302570665,782.1272259216626,183.8493000000003,0
T6,137.2091,153.10716222222223,213.8552,100.0,28.610020000000002,60.775573333333334,5.0,33.08770411167107,126.0,189.10233677596653,1108.4382473727264,175.4752000000001,0
T1,68.658,112.1358744680851,199.5499,100.0,27.772215957446807,47.51771489361702,2.0,58.713007077786116,127.0,82.64441459241306,1456.5456995602392,256.8615,1
T3,81.033,111.82771294117649,188.0064,100.0,23.271048235294117,43.275650588235294,2.0,53.389786633188315,127.0,131.9598477162819,687.5712808793276,249.3137999999999,1
T8+T9,82.3835,114.27075324675324,171.1757,100.0,17.580850649350648,44.27806363636363,2.0,75.51687757496762,127.0,166.63074769615602,1493.4016133418058,224.62260000000015,1
T14,84.6799,122.48028983050847,202.0447,100.0,33.240281355932204,27.158515254237287,2.0,54.443301941123465,127.0,90.78956409431252,977.8501410960355,184.01270000000022,1
T10,114.1985,123.37525294117647,144.6555,100.0,12.341405882352941,48.66203823529412,3.0,43.39379873371182,127.0,108.96280288001488,864.2156490361084,107.56970000000001,2
T11,96.1242,117.01027222222221,141.9165,100.0,13.180827777777777,46.034840740740734,2.0,56.66352729505092,127.0,174.98573217047718,1067.5492591283034,157.57670000000007,2
T15,77.0886,98.46511392405063,137.8882,100.0,12.365351898734177,58.44624936708861,2.0,45.70152094880171,127.0,139.32005020262616,1077.122186668522,205.73990000000003,2
T7,100.5417,116.61412580645163,145.6931,81.9608,8.121440322580646,58.13407580645161,3.0,49.03748556962275,127.0,188.51602450395418,1376.1453298022418,186.0599000000002,2
T12,150.4234,163.40295806451616,178.0346,0.0,0.0,93.47245483870968,3.0,19.196198791463846,78.0,66.29205771361785,526.5637026014421,129.2509,3
T4,149.6605,167.89742368421054,189.2424,0.0,0.0,92.55930263157894,3.0,43.11142447745005,126.0,160.32688642734843,1278.5890530659178,164.3243,3
