section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,138.25435,148.25320736714974,169.4057,79.4118,7.060718236714976,60.09921129227054,3.5,18.428496241954086,64.0,34.06815513355993,141.94657476961714,181.96695000000022,0
T6,143.08765,162.33855499999999,218.2002,85.88235,23.162362134146342,38.291956829268294,4.0,25.448145856873246,75.5,38.98664915826094,126.01060801768836,170.51815,0
T14,84.79820000000001,126.61233267857142,208.72435000000002,100.0,43.132356071428575,34.01819964285714,2.5,36.29306603355218,95.5,33.950407678365494,122.80972853449987,181.0869499999999,1
T1,74.1169,116.51113579044117,244.9874,100.0,38.31704096507353,44.33051306985294,2.0,44.06517043961166,116.0,33.312240317600306,167.554113755686,258.0204,1
T16,101.04145,125.56708456432708,168.822,63.7255,6.782662999576331,61.56903040530998,2.5,29.4184797758044,85.0,20.975028589665914,113.30796613699064,315.0063,1
T7,98.87465,116.46850653005464,153.62779999999998,71.17645,12.987784644808743,50.90838218579235,2.5,21.649094097483882,90.0,27.002928669266232,115.2265217457325,181.47149999999988,1
T3,90.55465,115.08356900962514,191.58085,100.0,24.035199544072945,39.16387797619048,2.5,38.721943951666866,106.0,32.896560509039155,140.70231076418588,245.69515,1
T15,81.5747,99.10115364130435,147.63105000000002,100.0,13.097398722826087,51.883834782608695,2.0,29.292402374326322,97.5,29.853779675795952,164.68272924696646,205.17869999999994,1
T10,115.3315,127.31912263257576,153.30360000000002,68.82355,14.188578977272726,34.32003892045455,3.0,28.65739665341244,92.0,41.58624838084375,140.00164348814312,105.49829999999997,2
T11,112.72605,121.65058754054054,135.0652,8.0392,0.529412,56.53883427027027,3.0,24.55486748504427,76.0,36.93487156452382,231.54360591085626,158.7650500000002,2
T12,158.06439999999998,169.31029028213166,182.9099,0.0,0.0,94.03739772727272,3.5,10.202778263445923,54.0,30.214424899818695,103.84852995455338,129.54520000000025,3
T4,152.39565,167.93758958333333,188.55955,0.0,0.0,92.61778322368421,3.0,24.10506412385916,67.5,27.63139807128055,106.78731217103082,166.0417,3
T8+T9,87.86525,118.60356683229814,177.48149999999998,90.7843,20.03604788819876,58.7015647204969,2.5,41.209210586806556,72.5,40.63671187836954,365.8587273692034,218.6654000000001,4
