section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T12,144.8234,152.1427705882353,163.6606,0.0,0.0,59.20413823529412,3.0,6.58586182821359,32.0039,20.723335585817587,103.01296514255984,129.1194999999998,0
T13,117.2351,133.45240714285714,159.8459,93.7255,12.864146428571429,60.81930714285714,2.0,10.856769380762477,36.0,22.407701291732483,84.05535422180444,186.9114999999997,0
T4,126.154,149.73703666666668,174.7845,0.0,0.0,87.32023333333333,2.0,10.633330549016858,31.0,15.483221936192338,57.789044307667986,162.3843999999999,0
T16,97.4136,118.95348785046728,161.4633,79.2157,3.8812532710280374,55.78521028037383,2.0,18.745618661073866,48.0,18.931576518261842,183.19939278218453,314.90340000000015,1
T3,78.9044,107.4709640625,183.0854,93.7255,21.0906875,34.577203125,2.0,24.58796751641766,64.0078,23.600719680074135,123.69708097176722,249.14830000000006,1
T8+T9,81.6281,111.44440363636365,171.4199,85.098,15.97860909090909,47.52227636363636,2.0,35.46475684054158,75.0,36.362302263124455,221.5049646877855,220.4277000000002,1
T1,72.2286,106.62378208955225,212.9091,100.0,24.249338805970147,35.36434626865672,2.0,28.185451747685185,81.0,24.28451311127381,147.05187039354553,256.1312,1
T11,100.4273,112.97163684210527,129.1524,77.6471,3.8802894736842104,48.81319473684211,2.0,25.130662455621113,57.0,36.80095877699678,245.2117520304816,159.46039999999994,2
T10,94.3313,106.12696875,143.5492,86.2745,12.2181375,31.38480625,2.0,18.46350986098263,52.0,37.476129257187395,213.28649781230192,104.95890000000009,2
T7,94.4228,108.69747659574467,130.7546,83.1373,6.391323404255319,41.15977234042553,2.0,10.77584353906028,44.0,13.157963268568276,75.57960782527717,184.17049999999972,2
T15,68.8411,90.46622345679013,143.7018,100.0,8.29339012345679,35.144025925925924,2.0,53.43117548294871,127.0,55.20171414336944,695.4899127117915,207.52160000000003,3
T14,62.4552,113.57091086956522,202.3575,95.6863,42.05456521739131,35.61806739130435,1.0,45.111955934484584,118.0,46.95586317730861,430.00954225255106,180.7727,4
T6,85.3361,125.7458780487805,213.8933,100.0,41.72166585365854,38.87134878048781,2.0,30.214238696365914,73.0,36.63226619278647,300.56797385620746,175.15190000000007,4
