section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,125.7267,137.9459425,155.9167,73.7255,11.15686,64.1568475,3.0,20.422210131782176,66.0,33.76700520592639,129.14357053684301,131.06920000000036,0
T2+T3,123.9414,147.611196,166.9566,87.8431,11.929412,86.964672,3.0,23.94854876482762,53.0,26.361188944096646,110.9605442453509,179.4878,0
T4,107.1107,121.75390793650793,152.9717,22.7451,1.960784126984127,71.08619523809524,3.0,22.238935881745693,71.0,25.40711002968572,158.20564991743214,190.5784,0
T8,82.948,105.2583875,152.7504,100.0,42.41421875,15.01225,2.0,46.42469121396041,125.0,44.14045861254434,132.21539326745759,79.54269999999997,1
T12,77.3327,112.68358020833334,179.9573,100.0,20.641340625,62.618446875,2.0,40.88153945582208,121.0,31.018235315660206,161.5464111236756,263.9926000000005,2
T10,86.1524,116.48606931818182,195.5673,100.0,25.151515909090907,54.67467159090909,2.0,42.2163367472673,106.0,41.26940887675464,218.87258162421332,246.98849999999993,2
T6,100.0992,120.30846101694915,177.5006,100.0,24.027913559322034,46.85940508474576,3.0,30.06937213143909,106.0,45.59960627728052,190.89134723008232,168.0118,2
T1,73.0449,115.43826987951806,229.0684,100.0,35.1004,48.62271686746988,2.0,42.13936254467614,111.0,40.13849853730567,198.8248906705519,232.36559999999997,2
T9,218.616,222.14465,226.5888,0.0,0.0,86.8725175,5.0,22.613476940855627,80.0,50.379661573317904,317.99613102015905,213.3683000000001,3
T5,150.9957,169.37664814814815,217.7386,89.4118,11.842166666666667,62.09632592592592,4.0,29.408366261788498,90.0,29.278870375335472,238.2033817575703,330.90110000000004,4
T7,136.6064,154.82123162393162,184.4892,68.2353,5.285739316239317,68.59726581196581,3.0,44.753242032685606,95.0,34.48314161344955,233.04640842206828,442.7950000000001,4
