section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,135.99599999999998,143.6625090992647,159.29275,50.0,6.1580875,53.87902766544118,2.0,27.566965259473236,70.0,52.793617195575834,264.9280090036163,133.2447000000002,0
T6,103.55154999999999,115.31742277825711,160.07475,100.0,20.15446159045154,51.0064973109002,1.5,21.843305946593055,67.5,32.16894410224512,136.15143323511506,168.0352999999999,0
T4,99.51169999999999,118.80675154174574,152.0447,64.11765,5.4149449240986725,65.51659141366224,1.0,26.58459130442929,78.5,30.64962130917418,208.08031474495598,192.17055000000005,0
T2+T3,126.31800000000001,146.05220171404682,162.41705,100.0,10.312807483277592,82.64048106187292,1.0,24.2280297521947,42.5,32.152196639113505,154.55940373534798,176.85875000000004,0
T8,78.00795,94.93828761987794,141.5694,96.66665,35.698242327811684,9.558949564080208,1.0,36.74938572571921,99.5,43.23793204841213,137.8283707109033,77.77840000000015,1
T12,77.96975,110.95094107794361,177.30599999999998,100.0,19.751732313432836,60.28733343283581,1.0,42.67474048703758,124.5,32.60099554596016,159.113846252381,262.15869999999995,2
T1,77.50435,111.45266981617647,221.80894999999998,100.0,30.261966764705882,38.91478393382353,1.0,41.26572714283303,108.5,35.3214530532478,164.49647824358817,229.53299999999996,2
T10,80.86135,114.19957003968253,201.709,100.0,25.592436984126984,49.6574721031746,1.0,43.039310935291844,114.0,40.51165175074637,298.3068455269357,244.90930000000003,2
T9,214.6334,219.6452383504493,223.36155000000002,0.0,0.0,99.6078,4.0,12.878008248829559,38.0,26.453863709123205,133.11714648539947,214.81484999999998,3
T5,158.36195,171.9246908056791,197.9019,100.0,8.134268722203215,70.25650343824837,3.0,12.293032773775128,42.0,18.494199733703937,91.55237552656703,329.3376999999999,4
T7,137.49525,156.3771936440678,184.3595,100.0,5.57545493030255,71.35541689767146,2.0,28.950841285584197,54.5,24.1203145426677,231.66566935069693,441.85895000000005,4
