section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,143.93455,153.66576527777778,166.1173,80.1961,5.703705,63.37143416666667,2.0,26.891008976950438,85.5,64.56297810688986,192.8931967745568,126.86929999999984,0
T5,166.3233,177.81096311802233,214.23669999999998,88.2353,6.523596112440192,51.21453133971292,3.0,26.649061350490477,87.5,31.45205020860669,137.36201174554262,324.82285,0
T4,112.19575,127.4597199074074,153.13195,44.11765,3.4600575925925923,57.96839472222223,1.5,26.715242744096457,79.5,36.49348308467829,193.78424768281764,188.54789999999997,0
T2+T3,126.3752,150.74846448863636,168.85635000000002,93.52940000000001,5.79396893939394,91.15117973484848,2.0,32.26441177938644,52.5,35.20175474952112,187.70472516938239,177.91359999999997,0
T8,80.54475,105.8975694623656,157.76685,94.31375,43.851995268817205,6.746362903225807,1.0,46.05033948353053,125.5,43.575423423965326,146.9932446210224,78.54520000000002,1
T12,76.76429999999999,115.1825982444385,185.70614999999998,100.0,20.221618788528545,54.86200257303671,1.0,39.60262344409489,113.0,36.318546174404375,204.54673816099526,261.41229999999996,2
T1,73.88034999999999,119.06814358974358,242.29035,100.0,41.19241538461539,40.53284866300366,1.0,40.0104932533391,114.5,45.104750470079324,218.11500372598906,226.22224999999997,2
T10,84.699,121.21782365250476,217.25415,100.0,26.21700507292327,42.89702406467977,1.0,44.240253263388766,118.0,38.78944147976944,206.25337345283089,247.54230000000007,2
T6,99.34004999999999,121.29143076923077,184.79055,95.4902,28.332408164642374,44.868079858299595,1.5,24.623006988702016,94.5,45.61251592880895,162.39687342347523,169.15625,2
T9,218.9059,224.8798115497076,229.3927,0.0,0.0,99.6078,4.0,20.396118535279978,66.5,39.81573894424983,122.44955699155642,215.34249999999997,3
T7,135.56875000000002,160.86189055963303,188.8571,82.74510000000001,4.304874788990825,69.54144127522935,2.5,45.09777313451886,91.5,39.012774485522435,280.3108320722811,442.60390000000007,4
