section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,145.61685,153.04686028770703,165.86939999999998,73.52940000000001,4.074055797733218,69.41842279860505,3.0,24.703766011702648,76.125,43.004987476145104,216.1444583744737,132.8112000000001,0
T6,101.9379,119.07986292115903,170.4318,96.07845,17.577692149595688,50.39162127695418,2.0,19.51332521677828,68.375,45.72327806266409,237.91960124409366,167.40534999999988,0
T4,104.28014999999999,122.07988263406502,153.16625,100.0,11.130379397054737,72.40414248402334,2.0,25.236206473799065,67.2344,36.27407634346863,227.6854895387483,189.71584999999988,0
T2+T3,130.07170000000002,150.13916105442178,168.24595,36.86275,1.0650935374149662,96.45856462585034,2.0,31.6789178934605,56.96875,36.06827301104707,176.9583036773484,176.79300000000006,0
T8,76.8902,95.89177078431374,141.69144999999997,97.64705000000001,31.19838568627451,10.297195196078432,1.5,27.925098895272022,93.25,31.488517625293195,93.00075587792497,78.11500000000001,1
T12,82.8374,115.01166647234098,186.07235,100.0,19.55696217774323,64.61442376603186,1.5,31.159561067642077,90.0625,28.347264863826595,125.5121499724126,263.8760000000002,2
T1,79.79705,116.30045186357242,233.81779999999998,100.0,31.6153380362166,47.74836666666667,1.5,30.259267377622592,94.3125,32.33874655964089,141.3170173113609,230.43285000000003,2
T10,88.51374999999999,118.00356755770663,207.1527,100.0,23.407735107967238,51.875572717795976,1.5,41.82180298627855,104.5,49.20693514409143,224.89626589389184,242.96929999999998,2
T9,215.04534999999998,221.5614392763158,226.8559,0.0,0.0,99.8039,5.0,10.366350831571015,35.2969,29.839369316499656,86.39841262136952,216.01424999999995,3
T5,168.101,179.16807417305364,206.58044999999998,42.35295,3.4211298507462686,60.44795073618395,4.0,23.71381879634246,78.15625,26.30880240200503,118.85987013679184,327.10305000000005,4
T7,141.16885000000002,158.83844863104733,182.7344,86.2745,3.784334210526316,73.47071193514088,3.0,40.08674160378783,76.0,35.5066729654259,211.01636457282996,439.5158000000001,4
