section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,153.8186,161.02447391304347,174.5556,50.5882,4.143221739130435,81.9096304347826,3.0,13.587066916502538,50.125,66.8772216753184,158.44684314161174,130.42159999999967,0
T6,102.6169,122.20789736842104,169.9016,100.0,19.019610526315788,51.682144736842105,3.0,13.39350021223698,38.4062,44.13391312718077,122.36979166666976,164.58500000000004,0
T4,111.4672,131.03908292682925,163.3783,45.4902,3.5581073170731705,75.66714390243902,3.0,19.90386851074403,58.0312,54.52494837769219,282.72628415093044,191.8872,0
T2+T3,136.4538,156.0735625,173.3272,79.6078,11.519603125,85.67401875,2.0,20.7246462171288,39.3125,40.48676486440796,160.24213911080093,179.08999999999992,0
T8,79.5377,102.42549545454546,147.9744,97.6471,42.424245454545456,6.007127272727273,2.0,32.333853752886824,88.625,45.71736603765279,102.62000063719829,78.79639999999972,1
T12,78.7366,116.76341639344263,186.6636,100.0,24.0822868852459,62.83510491803279,2.0,22.735905488874725,62.25,53.736711773704045,349.4674438978729,258.1400000000003,2
T1,78.6679,120.35700192307692,232.0211,100.0,40.0301673076923,43.87632307692308,2.0,22.811718049384105,61.0625,61.275778786380016,390.050238928679,227.50430000000006,2
T10,84.2679,121.25881428571428,200.6256,100.0,30.11904642857143,55.85434107142857,2.0,19.129828353930865,53.4375,56.00689011163859,252.687184436932,242.4755,2
T9,223.2395,229.40443076923077,234.6227,0.0,0.0,100.0,5.0,7.034040636444593,37.6562,33.498242985108405,75.73206758731665,212.55089999999973,3
T5,156.817,179.65149215686273,220.9354,93.7255,16.070741176470587,74.90964901960784,4.0,18.05400487284942,40.25,38.03278583611718,221.14852566001758,329.47990000000004,4
T7,137.8119,163.56114189189188,194.255,94.902,6.735559459459459,79.60254189189189,3.0,25.017605750126442,50.5625,40.291124585503724,329.4898426062016,439.63909999999987,4
