section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2+T3,109.0791,135.35439200000002,159.0448,0.0,0.0,99.60779999999998,2.0,25.30800174096464,58.0,56.00961344821718,299.01669010627523,175.59450000000004,0
T1,70.4891,98.99943333333334,154.7036,100.0,12.196078888888888,45.62961222222222,2.0,52.72917867257743,127.0,102.21611915635523,710.2103435434022,233.19590000000005,1
T12,68.986,108.90598723404256,175.8831,100.0,27.70129255319149,67.97661170212766,2.0,37.00793488332012,107.0,78.67994177690647,537.801627661558,265.47029999999995,1
T10,74.8379,113.52533456790124,202.5406,100.0,34.82933827160494,58.6588962962963,2.0,37.66847759615807,99.0,67.40717949407058,552.8365116433403,241.76289999999972,1
T6,87.7699,112.77155409836065,186.6255,100.0,36.56702295081968,57.60203606557377,2.0,42.642954664920616,127.0,100.26532184945182,871.2904635753506,168.98389999999995,1
T7,118.3719,143.79121637931036,168.9097,100.0,13.813387931034484,81.362375,2.0,33.005623571058884,127.0,112.63604386770747,996.8420806609878,442.72839999999997,1
T4,93.5378,114.69579193548388,145.8534,100.0,19.03858387096774,76.38200483870968,2.0,25.244825714947773,82.0,80.86798330512214,443.6370536372775,187.25959999999986,2
T11,138.3993,147.267,166.6438,100.0,20.21288285714286,61.90474571428571,3.0,21.693545556773678,54.0,80.59684681898624,410.0079159541578,133.89699999999993,2
T5,150.6828,168.19145066666667,207.5303,100.0,20.308497333333335,78.21696133333333,4.0,19.29932881003449,93.0,100.139042169183,750.7616781764278,326.6596000000002,2
T9,210.1244,216.62510263157893,221.4694,0.0,0.0,99.6078,5.0,12.003929663827215,46.0,99.75689819584085,317.03487062455036,215.9414999999999,3
T8,78.4085,100.45654193548387,149.8207,100.0,52.776719354838704,23.617958064516127,2.0,21.392805127189202,92.0,64.832918278863,290.77504067727915,76.61959999999999,4
