section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,150.2251,157.04346285714286,168.0705,0.0,0.0,35.28292,3.0,22.920799494396338,80.0,47.10054540445462,369.4993808528636,133.61149999999998,0
T2+T3,123.0335,146.6193212121212,164.3168,2.3529,0.0713,92.8817212121212,2.0,31.53085411917743,54.0,30.950439500681487,139.5998075741502,171.95600000000002,0
T4,112.0089,126.63397142857144,150.4921,53.3333,4.089631428571429,47.78710285714286,2.0,43.45439855043,113.0,38.43755439331285,277.4305504525728,188.3411000000001,0
T7,142.0844,159.096824,181.8341,55.2941,2.235294,66.870562,3.0,50.610502992816436,87.0,29.890776442611617,240.22397580451218,439.0556999999999,0
T5,146.5171,171.9738388888889,212.7489,100.0,12.026144444444444,60.708038888888886,2.0,19.394170601013855,57.0,16.377595056563592,95.99147505961623,332.75620000000004,1
T12,75.0744,112.30115520833333,175.6847,100.0,17.949347916666667,54.59148645833333,1.0,35.594890989642344,97.0,29.63317140249705,259.0940431885456,265.8870999999999,1
T6,97.612,121.744412,185.5573,100.0,33.380387999999996,47.027443999999996,1.0,23.040678337997488,72.0,32.72450561477195,152.25922436237602,160.29050000000007,1
T1,74.6624,120.32569000000001,238.8952,100.0,41.16666875,47.2156775,1.0,38.67434231066419,99.0,32.4832646534083,173.49010276329312,232.73519999999996,1
T8,67.277,109.29437142857144,164.538,100.0,86.44257857142857,2.521007142857143,1.0,31.132027254108422,108.0,37.416502203246594,88.84501611114025,76.26309999999967,1
T10,77.5616,117.85875862068966,207.2251,100.0,28.388550574712642,52.27404367816092,1.0,43.88695445038775,120.0,58.36631788795469,477.08877111001385,244.42099999999982,2
T9,216.5637,222.51609629629633,225.1774,0.0,0.0,99.60780000000001,4.0,10.347522653815506,44.0,18.783046477152837,95.24700087054886,216.99159999999983,3
