section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T11,151.10855999999998,158.2165996872931,169.80239999999998,24.86276,1.6823861848739496,60.73708938579068,3.0,17.209498196687196,61.60155999999999,50.4483031157552,216.93917923410527,130.44360000000006,0
T2+T3,128.2994,150.16854951195748,166.89249999999998,65.56862,4.8157247702104105,94.91940109649053,2.0,31.05747186515594,50.0,48.723584637979926,220.48178971270198,177.11100000000005,0
T4,112.54749999999999,127.95150166475749,156.02501999999998,60.15688,5.039070236263248,69.51605980355599,2.0,25.562259456233726,75.4,50.47992142522345,260.3414882193576,190.97238,0
T8,79.47052,104.94476783870968,151.70213999999999,87.05882,39.32298670952808,8.141552516427717,1.4,40.72283926047533,113.6,43.58421893715763,172.46614419946707,78.75987999999998,1
T12,79.54682,114.34617987736905,185.6397,99.45098,19.823921879429044,60.33364207006838,1.6,36.68548810487828,105.4,44.62190055148093,301.7155088075919,260.66226000000006,2
T10,88.39552,119.60570075931332,207.91942,97.72548,24.412520363136473,51.98531827131637,2.0,36.964981402797896,94.8,57.42353954178925,358.00526843525233,244.09457999999987,2
T6,103.6591,120.91247137755101,173.96964,96.54904,21.120647295918367,51.25029510204081,2.0,25.900017730295836,80.6,94.16591796674899,408.3940845886675,167.43152,2
T1,79.15617999999999,118.88310366269498,236.18220000000002,99.52942,32.08177501003216,45.16355541001317,1.6,35.636857407091284,104.6,45.12067314087614,248.8033330656197,230.12055999999993,2
T9,217.04738000000003,222.01871449392712,226.20738,0.0,0.0,99.45096,4.0,12.442349657081028,47.4,46.252659032072685,136.87034406560775,214.76510000000016,3
T5,164.7959,179.54180494316134,213.74534,80.31372,7.0084822001638,62.55399016642097,3.0,17.79323394759887,61.2,34.17936958230346,177.65420715823325,330.03506,4
T7,141.02236,162.8978547299108,186.33249999999998,66.98038,3.380093765837065,73.04317959561249,3.0,36.878679240795705,69.8,47.89105418960244,356.15064274595045,444.0654600000001,4
