section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T4,116.93753333333332,129.91940877051385,156.8958,28.104566666666667,2.2969182539682538,72.14966776970675,2.6666666666666665,17.34890345651208,59.333333333333336,34.39161908848201,145.3368920233308,189.33956666666663,0
T5,168.85886666666667,183.84882405935346,215.5871,90.19606666666668,5.925093914502739,64.45277133015368,4.0,15.174464789664512,54.0,34.11351045695678,219.17161590205137,330.9771333333333,0
T2+T3,130.3273,151.59395542257684,167.73476666666667,94.77123333333333,8.724879044433699,91.83036591580701,3.0,28.50515487342922,44.666666666666664,32.73680249563835,198.05397243199366,176.22300000000004,0
T8,79.31386666666667,104.25480390090421,152.66396666666665,100.0,37.971173582600194,3.617962283113392,2.0,30.371499327395043,92.33333333333333,43.949258010340294,176.16769433683194,78.39126666666652,1
T10,85.17586666666666,121.03737613788489,208.46623333333332,100.0,28.036194809433812,50.48532249507835,2.0,32.72921733131827,86.33333333333333,36.301800562643734,213.03621178237017,242.7833333333333,2
T12,80.28533333333333,115.3120875127539,190.3614,100.0,21.40323951007456,61.31615618486041,2.0,33.911105180235616,96.0,37.649625465118426,256.2831874678831,262.72276666666704,2
T6,103.35186666666668,122.46948830409356,178.57886666666664,100.0,23.386080116959064,51.88050263157894,2.3333333333333335,19.21892716279178,66.33333333333333,49.0012246129383,215.67954815477574,167.6410333333334,2
T1,80.8474,119.13899661753209,232.82979999999998,100.0,33.39813878498568,44.786524681094726,2.0,32.20167375797313,92.66666666666667,39.66176166324081,262.82591832321185,229.4748,2
T9,218.86013333333335,224.7895842216117,229.70423333333335,0.0,0.0,99.6078,5.0,10.678141090640453,37.666666666666664,22.85041774657445,79.68711159601119,215.3063666666667,3
T7,144.3122,164.35332307452907,190.0358666666667,99.60783333333332,4.209011112203112,78.67606865902265,3.0,34.130883111495784,56.669266666666665,37.17501214948107,356.36950295756736,443.2454666666666,4
T11,156.46343333333334,161.4172835038363,170.6975666666667,2.6143666666666667,0.07689313725490196,70.33028290707587,3.6666666666666665,19.620567757282803,65.33333333333333,80.14039335989202,291.10832455972064,130.4354,5
