section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,129.76276000000001,156.86754467626264,223.08994,96.54902,33.7737693510101,39.67210397171717,2.4,21.18342213878457,63.3875,50.53705247219335,246.04389014135973,179.09516,0
T14,117.80118,146.79992153859342,192.70311999999998,96.31372,16.69809778198914,67.81342726236205,2.0,27.950337329965407,84.0875,51.83801788600289,368.3470330651295,263.6690200000001,0
T2,85.63973999999999,100.60168588033396,134.66696000000002,91.52942,18.485755852195425,59.30993920088641,1.6,38.674927096269165,100.8375,88.6223371787429,352.7804282335448,114.7913,1
T12,68.58166,96.77115727761918,164.39002,99.37254,21.903634813104702,52.052157878708044,1.0,50.97639781447406,144.1,62.56472503337134,295.8111030937951,178.8894800000001,1
T4,71.76166,100.60277327712788,182.67644,100.0,23.02974849099131,54.05604867580913,1.2,52.059172504191864,135.925,87.47521651720055,489.58751265613046,221.79002,1
T10+T11,148.14068,185.49659453533909,253.5851,100.0,27.106317446481967,57.50712648434812,3.4,18.43854851390345,57.218759999999996,34.76087226672755,130.57564537698732,271.79571999999996,2
T13,129.31562,155.05678142640693,175.50316,0.0,0.0,93.63977331277056,2.0,17.556004841601187,64.65624,41.45157163255509,165.13919494115208,186.8425400000001,3
T3,120.17092,156.18718622444652,187.78668,0.0,0.0,98.73722714285714,1.8,12.831944479222347,50.05,30.453727528038616,157.2574707053471,239.53578,3
T5,125.80145999999999,146.32539026569265,170.99414,0.0,0.0,93.30891849200076,2.0,28.71662480736464,69.31876,67.99559467083286,307.311846658257,173.00902000000002,3
T6,85.35898,139.49282496495408,237.59364,100.0,25.32014919857798,62.8448457049153,1.6,31.998416739661774,100.8375,39.13381938103231,273.41820792908567,357.71312,4
T7+T8,74.61816,127.07243181727249,203.6698,94.98038,18.237356576274212,66.42193649993466,1.2,36.84991798889425,118.575,36.49692772777618,236.4293467167732,373.5694000000001,4
