section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T2,89.5094,102.1440530612245,127.718,100.0,23.017210204081632,64.74589591836734,2.0,42.533082437101235,117.4375,57.72633635405795,119.03535201740557,115.2124,0
T14,117.9522,138.21677469879518,175.7458,100.0,15.91778795180723,74.47672771084338,3.0,39.467730529455565,114.25,37.14927953857044,154.49963554236962,267.11010000000033,0
T12,62.1729,93.4449487804878,158.4115,100.0,34.45241463414634,59.27785731707317,1.0,59.46396949273014,187.875,53.90906164354243,238.6020833333115,179.29899999999998,1
T4,67.3075,100.36999292929293,177.348,100.0,30.615961616161616,59.57219090909091,1.0,64.21007771408131,187.25,74.89979634389515,274.3288671710781,227.168,1
T1,119.2035,146.10230925925927,202.9297,100.0,35.0472037037037,51.39433888888889,3.0,27.87962426591548,84.9375,41.37993541054953,170.99414264521502,182.62740000000002,2
T10+T11,146.6011,172.09522898550725,225.803,100.0,24.4558115942029,60.08524927536232,4.0,25.138315526049915,85.8125,38.62145649692009,122.42715154586479,273.87310000000025,2
T13,122.5757,139.9745616666667,159.8077,0.0,0.0,92.49673,2.0,36.25033343087877,106.375,38.84150550138027,123.51710080835485,193.22450000000026,3
T3,119.9741,144.26208055555557,169.6727,0.0,0.0,97.29302638888889,2.0,25.627944000788194,84.75,26.67813828011346,148.02479405622032,240.64569999999998,3
T5,123.1174,138.70676666666665,156.0845,0.0,0.0,90.6535962962963,3.0,37.89673192986947,89.625,34.29339338291956,190.501027449629,172.12630000000001,3
T6,79.5529,131.47516583333334,215.0072,100.0,27.696076666666666,65.48039083333333,2.0,40.16987778226735,133.625,27.35673487806076,155.02173556430435,364.94280000000003,4
T7+T8,68.3528,120.61981838235295,182.5971,100.0,25.031719117647057,73.55824632352942,1.0,41.467790422134215,136.875,29.371114578277698,213.57601492378774,377.22469999999976,4
