section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,123.79952,149.08733639523808,193.15328,98.03922,15.409624316883116,68.5631234994228,2.6,27.63861633278152,79.84374,41.47737683832428,268.0699617403055,264.94818000000004,0
T6,88.10864000000001,142.44229352117776,240.34484000000003,100.0,23.996643995760245,61.47641165325389,2.0,30.558569327029453,98.2125,35.454515559322274,223.22967325670714,360.79684000000003,0
T7+T8,81.67846,129.0512741177668,204.39461999999997,99.13726,17.492396615064628,65.42977331567181,1.8,34.574741994935515,102.7625,36.42857196172484,321.2243919157427,373.1712000000001,0
T12,68.69002,98.24733271632421,168.02928,99.52942,23.291039110958906,52.16406791917808,1.4,41.86074423775333,123.5625,52.89152009779739,316.98607777427316,176.29325999999992,1
T2,93.95743999999999,105.93707704040403,134.18782000000002,89.88234,14.134223317460316,55.42438626406927,2.0,38.23462860736127,100.125,77.6804020156334,375.7446628592602,115.00277999999999,1
T4,73.04038,102.87407554578836,181.08646,100.0,20.351714534635455,50.969969540378514,1.2,39.49877713164874,113.2125,64.26468952037638,304.4764991873652,221.44782,1
T1,131.19400000000002,161.41785854710145,226.85129999999998,97.0196,35.04665476449275,42.2407954794686,2.6,20.892667887933946,59.1875,42.134094191020004,186.61340340028482,180.56534,2
T10+T11,160.63784,194.32226297195007,254.62422,94.82352,24.769569124566466,56.265304663755344,4.0,21.575248290911045,63.9375,43.43543140571497,245.65967077020295,272.89092,2
T3,127.69512,159.8234349527559,190.46314,0.0,0.0,97.84249343915344,2.0,14.039549673756852,47.625,37.318883515920106,266.33705150254116,240.32376,3
T13,134.77378,155.613266519295,173.27382,0.0,0.0,87.90907357235622,2.0,18.85941838492833,67.5,43.753994442249216,156.39906328322058,188.42858000000015,3
T5,129.1325,148.5991701054523,174.83024,0.0,0.0,89.32550671048412,2.4,25.112868137955395,70.2875,42.239444980643064,272.0861013728119,172.97526,3
