section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,117.1893,138.22155180722893,175.2499,100.0,16.399715662650603,65.28700963855421,4.0,32.22147575258006,66.0,70.46794006893022,772.2738012045388,266.78830000000016,0
T12,64.6296,91.64541309523808,145.8839,100.0,18.66946904761905,48.76282738095239,3.0,53.21518498585635,127.0,89.81850588580498,637.8153028144691,179.14060000000018,1
T2,86.7323,99.51476000000001,129.1142,100.0,24.839216,50.988228,3.0,36.48519160144683,94.0,94.53791052821555,292.60163307852963,115.1257,1
T4,71.2825,96.868925,169.482,100.0,27.992157000000002,48.53725,3.0,40.199318561648326,116.0,76.13273097576256,514.4884231494813,225.0276,1
T1,128.5573,148.72709622641509,208.072,100.0,39.14169622641509,48.53866226415094,4.0,32.62208927079458,79.0,58.48447573187407,283.4894867704338,180.08579999999998,2
T10+T11,142.4353,172.44795507246377,237.9644,100.0,50.5825536231884,42.512069565217395,4.0,28.28628660280073,81.0,63.423418897625055,408.8291192465207,273.87310000000025,2
T13,122.858,145.37845438596491,159.6399,0.0,0.0,92.17747368421053,4.0,16.196759904329515,62.0,35.776326945626806,282.75017570417066,192.66719999999987,3
T3,115.5566,147.6437885714286,175.1507,0.0,0.0,99.6078,3.0,11.538110117646378,45.0,46.29728688913975,230.83790643186626,241.45009999999996,3
T5,117.5097,139.8755,163.9582,0.0,0.0,95.53374629629629,3.0,22.37745974073661,69.0,60.13745149594603,481.40904370096973,175.46320000000003,3
T6,83.8712,132.99743949579832,222.4155,100.0,31.435163025210084,57.871127731092436,3.0,38.352863748594835,98.0,52.1923628594068,653.7018523963721,363.6728999999998,4
T7+T8,73.579,120.77083507462687,183.6271,100.0,27.43927462686567,63.67864253731343,3.0,30.897835271878574,108.0,52.87765854460432,663.8522408609714,376.66799999999967,4
