section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,115.8618,138.9360423076923,176.875,100.0,15.241326923076922,68.48413653846154,3.0,22.445444361126636,71.0,32.63949157882823,109.35233044899199,266.62840000000006,0
T6,86.45,131.44610266666666,219.8978,100.0,24.413073333333333,58.813047999999995,3.0,30.9108923080449,100.0,25.608550402219752,177.00365116418152,359.5400000000002,0
T7+T8,76.7758,118.83593488372094,185.8167,100.0,21.71454651162791,61.19013139534884,2.0,28.05382305392689,83.0,27.433210007043193,120.20342466006531,369.99530000000004,0
T12,58.1216,91.45819444444444,148.1727,100.0,40.566449999999996,52.58531111111111,2.0,36.98113744269828,127.0,39.64034271869199,368.0414513925656,175.39679999999998,1
T2,84.6647,97.39856969696969,126.6117,100.0,13.475936363636363,59.06117878787879,2.0,43.32989029023987,86.0,112.46859830709342,604.0478781803374,117.43119999999999,1
T4,69.2988,98.28045555555556,174.5098,100.0,25.83255396825397,48.96980158730158,2.0,34.11950667357008,106.0,51.28665531595551,243.44480858910964,221.77010000000007,1
T1,119.9893,153.13572812499999,209.1249,100.0,48.60294375,29.203425,3.0,19.3519560281248,62.0,27.236710834349566,130.75681951346436,174.66529999999997,2
T10+T11,133.1426,172.7869488372093,234.2107,100.0,31.263111627906973,30.02279069767442,3.0,15.83385368216277,54.0,35.600352035905054,155.81865444710823,267.9114999999997,2
T3,110.1015,140.94453555555555,169.6117,0.0,0.0,95.36379777777778,3.0,10.488171752515917,47.0,23.275246433019674,88.10463979078585,235.35830000000004,3
T13,119.3256,142.3004891891892,160.2808,0.0,0.0,92.4112,3.0,18.251361456560797,77.0,53.19103622009493,169.9329785753903,193.6212999999998,3
T5,119.1272,137.81140294117648,159.968,0.0,0.0,96.89731470588235,3.0,17.144612150525656,54.0,38.8289197974212,183.4449760765536,172.68039999999996,3
