section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,108.0033625,133.89942159692902,173.74303749999999,100.0,19.174324749554692,69.46237716131745,2.125,26.063973101078055,75.125,41.10751680196001,251.44514881306088,264.35372500000017,0
T6,79.8657375,129.01980671842657,215.723475,99.950975,28.404632948269033,57.114344937224516,1.5,30.238882347995457,100.75,36.14582465543225,278.3373001803948,360.6656125,0
T7+T8,75.98995000000001,117.61047774590337,179.272525,100.0,17.46257029270771,62.19387643364651,1.375,32.222503274027616,97.625,31.469193599237347,218.3986130910542,374.2557125000001,0
T12,65.6633875,89.29512261727002,146.7040625,99.8529375,23.937177610961967,49.09955175872379,1.125,43.21048246959128,122.0,57.11629400401293,350.18775423619513,176.78677499999992,1
T2,84.66755,97.23204928927858,122.677775,92.5,18.26873397774891,52.95744337359302,1.25,30.594598664188638,85.5,66.58958287299133,386.8870650719296,114.3445875,1
T4,69.277875,96.42675622239436,166.1459625,100.0,24.61973885664329,49.39234385408743,1.125,38.48341162120552,119.0,58.10238290807785,322.6809831090586,223.18686250000002,1
T1,117.6547125,146.42288530471,205.10415,100.0,39.470728937179175,36.3457228796675,2.25,22.986869507046734,67.250975,41.923824103134166,266.48866798348945,181.745775,2
T10+T11,135.5506625,169.30886199837826,226.84635,99.6568625,31.86114847560387,41.117947775142476,3.0,20.18250443780331,65.500975,50.4836522849452,237.80821675398403,273.4595624999999,2
T3,112.2787625,141.85873811243457,170.417525,0.0,0.0,96.9026793585652,1.75,13.089125673669507,55.625,37.12952498486056,247.20737961520632,240.11592499999998,3
T13,120.16765,139.02061318053885,156.8923125,0.0,0.0,87.40248433271329,1.875,17.482723564926488,65.0,45.196254178738286,201.63929598659945,190.14322500000003,3
T5,113.8485125,130.35602001544015,153.80236250000002,6.568625,0.7487740625,84.50288051833304,2.0,24.53043577684418,66.625,38.701447445395125,190.52344530521816,172.74293750000004,3
