section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,106.21805,131.86583077160492,177.9126,85.09805,15.393488449074074,63.92218469135803,3.0,22.003869690263084,65.5039,20.85774170662381,163.60414642129325,265.91695000000004,0
T6,79.0837,129.5420911607499,226.421,86.86275,21.607779852413245,51.40527351416035,2.0,27.139665636052307,88.0,19.541414595495297,144.8968131195157,362.50739999999996,0
T7+T8,68.50915,118.74163949767441,189.62005,81.9608,16.468765262015502,58.72112438139535,1.5,37.91733479961036,109.0,25.01860793031434,233.68646763218229,375.8754499999998,0
T12,64.271,91.0028847077922,139.4675,71.56864999999999,16.28536241883117,50.08847818993507,1.5,48.9173767548201,127.0,38.12092480372072,390.1151048715203,178.53050000000007,1
T2,85.99985000000001,99.55566686930092,126.10435000000001,71.96075,12.598316261398175,50.76727531480677,2.0,30.50733443964853,87.5,46.34400128920258,258.8883741493104,117.0924,1
T4,70.7141,95.60804474126344,167.628,90.1961,16.929554099462365,46.3029014280914,2.0,36.666958714344815,111.5,36.71472555747262,353.0310344419354,224.06029999999998,1
T1,116.495,148.29112386954782,216.09825,88.0392,29.56084199679872,24.971711844737897,3.5,16.236110077933137,46.0,22.728945146242772,158.78102114451357,180.60889999999998,2
T10+T11,122.50704999999999,172.6049081273321,247.42885,83.33335,32.69040717117537,30.254465065298504,3.5,14.91647790210018,47.5,25.470608319862848,113.75783450400814,274.66089999999986,2
T3,114.23285000000001,144.15643596338273,174.7997,0.0,0.0,86.96340945945946,2.0,22.460897136510777,60.0,32.29232217249991,205.61115325726377,240.2461,3
T13,123.24715,141.51873710826212,159.8764,0.0,0.0,71.48536745014245,2.0,12.727310296427053,42.5,27.306041540306236,132.84094906415748,189.38840000000005,3
T5,113.05789999999999,129.81562097770154,157.76305,41.9608,3.684795283018868,70.16175142367067,2.0,23.657403575849465,58.0,26.627919670693696,261.89557285910007,175.6043499999999,3
