section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,117.51551851851852,144.77490164650075,189.1667061728395,98.5282,17.158202580106497,66.52089321714149,2.376543209876543,27.31851408707952,78.91155432098765,42.12169724725898,257.43301692622566,264.6318722222222,0
T6,83.44616012269938,138.55875523691537,234.24087177914112,99.46589570552148,26.027765036980007,59.184340395012924,1.5828220858895705,32.028125090436475,104.49961656441718,36.248084753814496,278.58604960985923,360.45595582822085,0
T7+T8,77.50683209876543,126.51582006748164,199.06096049382717,98.63229135802469,18.744393669868472,63.57484018827638,1.4197530864197532,34.9181908384437,106.16550925925925,33.954804823565745,260.44280454410523,373.9245956790123,0
T12,67.65078024691358,96.40256368340314,161.1368290123457,97.11933950617285,23.905244797102753,49.66112543629709,1.2530864197530864,43.78565316754991,124.47337962962963,52.46633099315277,298.8231150239557,177.18397777777776,1
T2,89.10960122699386,103.31915696581181,133.85864478527608,89.81354049079754,17.67644211334515,52.53377509145563,1.6687116564417177,34.548320909016056,92.07707055214723,71.78923378285005,323.65026929247824,114.38456012269938,1
T4,71.76884601226993,101.36419037076074,179.94459079754603,99.23974478527607,23.30576005641631,49.326256107357445,1.3067484662576687,41.300815635647005,117.51993865030674,60.191632785411855,336.56683177645965,223.46431349693253,1
T1,127.79276993865031,158.04345804512883,221.07270858895703,98.53001165644172,35.99369657076798,36.919602353598535,2.6196319018404908,23.29746493936522,66.71314233128835,43.56603238741772,220.27876949643917,179.87673374233128,2
T10+T11,149.19942160493827,186.109334156881,247.24466172839504,98.37327469135802,28.47199008905197,50.377227219399664,3.228395061728395,20.560548793257652,65.46749629629629,42.22413088426077,200.47295440419472,272.11619012345676,2
T3,121.40784846625766,154.18282002543324,184.87231963190183,0.0,0.0,96.78469511094421,2.0245398773006134,14.805446825393663,52.94864355828221,36.09510513197091,194.56249998573148,240.39551042944788,3
T13,130.56217283950616,152.5262588194888,171.9987086419753,2.367466049382716,0.17162015149937415,88.91601812040953,2.1419753086419755,18.046177369184665,64.97714135802468,43.57306243682638,191.51830460635014,189.41106543209878,3
T5,125.90733865030674,145.34357584168575,170.49677668711658,2.5478171779141103,0.1839651301899026,89.61040544116452,2.184049079754601,24.536980446331814,68.2235435582822,45.12850849220655,237.96165007267592,172.60785950920246,3
