section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,110.07475,136.52287512655317,176.45155,99.8039,17.713560676484125,72.31551528992176,2.5,26.148199804612155,76.0,48.04113041053157,305.5913403963543,262.77769999999987,0
T6,82.578,130.2804060351413,211.9974,100.0,22.856243468296412,64.80232578304049,1.5,30.544035003761337,106.0,32.10311269642074,206.9955891384917,363.5935999999999,0
T7+T8,73.6057,120.13013448455396,181.08265,100.0,18.650760898993404,67.37011022214509,1.0,29.345733881541484,94.5,36.67237665876735,196.04679785483623,375.8549499999999,0
T12,63.1342,93.05275189701896,150.8774,98.43135000000001,24.886993224932247,53.649221725383924,1.0,41.501189192900384,123.0,55.428183053540074,377.64912095750816,177.48685,1
T2,90.03965,103.53882336734694,133.84834999999998,81.1765,20.058905775510205,57.485064959183674,2.0,34.23541594940696,81.0,83.28168872725529,349.598533839958,116.27735000000001,1
T4,58.79685,97.85256458333333,174.97905,100.0,30.713298116987183,55.55271390224359,1.0,39.809158990261594,123.5,69.06162276793036,348.1453934996638,224.88594999999998,1
T1,121.4542,148.82962044159544,202.06380000000001,100.0,34.65406855413106,47.62763707264957,3.0,20.562384625430006,58.5,57.08998577485669,242.40387537382028,180.7158,2
T10+T11,135.69085,168.68591182864452,226.3981,99.60785,26.723961956521737,52.637022634271105,3.5,17.848091098309677,61.5,46.41612555128854,257.17906296406306,272.3638000000001,2
T3,112.6154,141.65148803731478,168.9822,0.0,0.0,98.59686298701298,2.0,13.843811253679295,55.5,40.51228221643512,256.3020794140012,242.93815,3
T13,122.3964,142.16606315789477,159.91455000000002,17.64705,0.9752315789473683,94.48397631578948,2.0,14.936950696219785,56.0,43.048483064261134,159.17824066217952,192.86554999999998,3
T5,118.13155,132.96443492424243,154.3641,19.60785,1.7538124999999998,86.26864434343435,2.5,20.694354696753997,61.0,62.31703955210111,332.6358001223554,172.56265000000008,3
