section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,123.991,151.51032014592352,195.74845,95.7843,15.039543087121212,62.262106090007215,2.0,23.882697721671544,68.34375,39.34479893566273,207.14488247191105,266.53554999999994,0
T6,88.87615,144.2573445827519,238.4966,98.039225,24.941355229621713,59.18275797995655,1.5,25.587226668610256,82.28125,28.80340487760261,203.2978655434947,363.400275,0
T7+T8,78.856725,130.2360708109319,204.7818,97.941175,19.10388145949033,62.51090510998858,1.0,28.1181689743446,91.875,33.42104669315353,307.1276500993505,374.0279750000001,0
T12,67.917925,100.0890892050073,173.155575,98.2353,26.761236096922282,47.32757484112616,1.0,41.75537477652706,123.5625,52.24907658419563,292.391284236748,178.05477499999995,1
T2,94.512475,106.97977995169083,139.276725,93.0392,15.942147157981294,49.03296819251722,1.5,28.952745520515283,72.59375,81.18869454751452,394.7774119866122,114.500725,1
T4,76.4248,104.73681609826997,185.1663,98.62745,22.058863064621185,43.666019707702326,1.0,34.217318598663994,103.546875,55.35684042624395,315.4483426065792,225.88887500000004,1
T1,135.32655,165.12484957386363,225.328075,98.62745,32.62700535037879,32.91629285037879,3.0,19.657883156263086,55.890625,39.045521637222166,197.92146459963953,180.720275,2
T10+T11,162.0432,196.2307185319677,251.77195,97.549025,23.676375774879993,55.79290672696438,3.25,17.15394841331028,52.984375,34.36491495863741,169.67155493287774,273.9048999999999,2
T3,123.550375,160.6179219512863,191.4683,0.0,0.0,99.23496628787879,2.0,13.653898963615275,45.61035,21.062049397915484,98.30801994499386,243.575375,3
T13,134.983225,158.7686922473605,180.336825,0.0,0.0,90.67916632277526,2.0,16.798093096904932,63.875,39.67911908463414,183.94437010161835,190.0339499999999,3
T5,131.17037499999998,152.16285870496895,178.995975,0.0,0.0,88.94620763354037,2.25,20.45123847944111,59.859375,35.43258898513641,164.81986604160016,172.89675000000008,3
