section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,102.77905,130.0276593826174,169.781425,96.176475,13.561262333666333,58.31064558824509,2.0,36.952397119075414,105.359375,62.85432896965335,451.3074079553612,266.3123750000002,0
T13,120.9945,137.53332720371702,153.7194,0.0,0.0,73.35419603079447,2.0,27.278537608986575,79.421875,92.46411127215498,494.85859631484067,191.2023750000002,1
T3,110.5802,139.75645070877653,171.143275,0.0,0.0,87.48073908123526,1.75,24.904984971645106,72.78125,76.44505227973974,338.3133008885752,242.04677499999997,1
T1,116.630425,150.49114403205886,217.77675,100.0,33.01171938098594,29.52431151648785,2.25,29.18230044223189,73.64845,39.216540030356214,347.13684760434995,180.406725,2
T10+T11,117.483025,162.71467832512315,212.26442500000002,100.0,29.497603378147236,39.523040754994526,2.5,30.625136888719158,84.2422,51.06667247751232,384.2358902889549,272.87569999999994,2
T5,106.8494,122.36336546490122,150.389125,23.921575,0.6846672131147542,70.89570785676511,2.0,46.048218180767,125.03125,93.71984656547414,710.3719322223395,174.66215,3
T6,77.191575,130.05431724261666,224.2523,100.0,24.45229033277582,52.69893403996823,1.5,42.40754915309901,116.0625,54.06894035904102,495.43802846719603,361.28274999999996,4
T7+T8,73.084975,119.81448002445319,182.8508,99.60785,13.962343524516488,55.54794380783806,1.5,44.07842789161588,116.421875,41.688523800281814,395.70571078920943,376.7506249999999,4
T4,68.957425,96.92537487737309,164.950025,97.156875,20.330027479019737,52.48650145589019,1.5,49.133031473692114,129.03125,86.24471636647613,674.5792527168151,222.34830000000002,5
T2,79.28014999999999,94.30518287536268,122.82560000000001,86.66665,15.66482466533688,47.98415727857028,1.5,39.6866752546357,107.78125,78.991766842477,368.39924266823067,115.86129999999999,5
T12,66.874575,89.47125293444901,141.1059,94.0196,17.206800270994762,48.2789227376262,1.5,51.446042915705696,124.15625,60.508340630710734,523.0440105526689,177.55804999999987,5
