section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,123.1775125,150.52347351500094,195.94205,100.0,16.416153519412994,66.79631259175221,2.5,24.512053081834402,70.0,42.827970790928184,269.4854877033745,264.9572375,0
T6,87.766075,143.7995025826293,239.90235,100.0,26.419264309067017,60.85668033140349,1.625,28.910075412154733,95.0,39.140373092375086,345.941691164145,360.8738125,0
T7+T8,79.6406375,129.924129227922,204.2277,99.068625,17.131390610353584,63.665334550004665,1.5,29.021626801266024,93.0,41.89499881236781,402.09773902965384,373.52368749999994,0
T12,68.789575,99.32525359442373,168.9011625,95.0,24.222232637199546,50.80460932570985,1.25,38.65738362560319,119.75,57.59633130633901,365.0483937582383,176.88038750000015,1
T2,93.05905,106.8783987015412,136.01318750000002,94.7058875,16.559393323607956,56.732776358806504,2.0,30.821324735849334,78.375,78.2559381381232,364.3036607480444,113.3336875,1
T4,72.913325,104.32918961679897,186.5529875,99.950975,23.753173316494813,50.65073566535128,1.25,38.12209498202021,107.375,64.37512279150927,358.4259563741204,223.46345000000002,1
T1,128.6240125,162.95584790489912,226.25125,98.9215625,34.3967944204344,34.161452563196555,2.75,22.98590040834655,66.125,45.99087547903072,205.98701791413114,180.371825,2
T10+T11,157.499825,193.77640442339813,251.8511125,95.441175,24.432823410573057,53.65802518349249,3.5,20.495823998195423,66.0,48.91066512930874,209.02389766103417,270.6432999999999,2
T3,125.1430625,159.40699952900775,190.2752375,0.0,0.0,96.95150326178451,2.125,12.44738842369925,46.125,37.36863583454277,204.43454729459967,240.699,3
T13,135.322725,159.1469662539599,179.008375,0.5882375,0.035013928571428564,92.97660801852804,2.0,14.256535123084406,60.5,43.48297034557454,160.4443558511895,189.273525,3
T5,131.069275,152.63559990114797,177.7084875,6.37255,0.6960782142857144,92.91105151254251,2.125,18.970966443426715,55.5,47.02990459660642,244.81836747156842,172.86657500000004,3
