section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T13,132.98239999999998,155.9626089962121,173.6057,0.0,0.0,90.94433759469698,2.0,14.441789728185253,63.5,22.798438578865262,118.9201279386375,185.52525000000014,0
T14,116.97945,144.51559614285713,192.4201,97.25489999999999,18.971987,65.76020157142857,2.0,25.48915626219837,77.5,32.3555668986216,139.56449422113724,261.9031500000001,0
T3,116.57509999999999,153.449525,187.3846,0.0,0.0,98.0130311111111,1.5,15.482577480847752,57.5,34.69337294194634,145.35483708109308,242.37005,0
T5,123.85745,141.36330482142859,166.24325,11.56865,0.9467800000000001,83.79911377976191,2.0,35.62889028042832,92.0,41.514781294956755,322.34908502423883,172.19010000000003,0
T2,85.9121,101.09418620923913,138.5901,86.47059999999999,17.53756875,50.48698457880435,1.0,49.22678695753467,112.5,75.07743606905034,322.48997377408807,113.76719999999997,1
T4,67.8492,101.89808718637993,179.50709999999998,96.47059999999999,21.157916594982076,49.479218333333336,1.0,44.39773700706654,122.0,60.54723808922206,377.6663783450169,224.82864999999998,1
T12,69.0738,95.83781164383561,158.59085,97.64705000000001,19.508309449518013,50.893979058853375,1.0,47.21714756090303,127.0,45.98209057770674,270.8236187151365,178.0326,1
T1,131.23525,157.1382025032938,218.02855,95.4902,28.66336175889328,36.38145566534914,3.5,29.60484273449009,80.0,33.89306726791577,180.71920158473625,179.04350000000002,2
T10+T11,147.9629,181.5686857366771,252.3804,98.62745000000001,29.168354702194357,47.81362112068965,3.0,21.55250885947387,69.0,38.905563333316366,165.69599367167632,271.92730000000006,2
T6,84.94315,137.88916324420444,238.74265,97.25489999999999,24.76908294915701,59.087642077186516,1.0,39.201538653144766,113.0,30.44960354502654,247.68271770209452,360.7406000000001,3
T7+T8,74.5899,126.02496747899158,203.8796,97.64705000000001,18.220133445378153,62.85448394957983,1.0,40.53050415538248,108.0,35.234910466854565,288.0659566306374,375.69920000000013,3
