section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,133.5622,149.45208518518518,204.4251,100.0,29.491646296296295,42.17865555555555,3.0,19.07430775307512,55.0,64.92868480027121,236.62234088965818,185.3955,0
T14,118.4329,139.06500192307692,178.3551,100.0,13.567119230769233,62.97132307692308,3.0,23.606338992715195,75.0,39.63533450902068,154.55572964040593,267.66730000000007,0
T6,81.8112,130.8462157894737,218.0819,100.0,23.415894736842105,57.31164605263157,2.0,26.906077484646243,102.0,34.95054561625975,205.22725124456304,364.6213,0
T2,83.2532,97.95214705882354,133.1273,81.5686,17.178007843137255,47.320260784313724,2.0,39.67468020443977,91.0,134.82675771272153,681.1390415679033,114.89479999999998,1
T4,73.7087,95.91789793814432,159.7696,100.0,17.165957731958763,42.239743298969074,2.0,39.58208717727074,127.0,55.13137518994977,401.2701981340731,222.88150000000007,1
T12,67.7348,93.20504230769231,148.0888,100.0,18.069384615384617,46.191546153846154,2.0,44.20124956518402,127.0,44.79097432732629,151.2843969333637,175.91679999999997,1
T7+T8,73.8384,119.11076,181.1322,83.1373,14.362168235294117,60.14761294117647,2.0,41.450852165574894,127.0,57.360536968069916,457.5490167989467,371.4238999999998,1
T10+T11,151.3466,175.08110476190475,230.3273,100.0,17.469654761904764,35.1914119047619,4.0,25.704736261051597,69.0,53.225046731258374,226.13075387575546,268.0407,2
T3,112.047,145.3454042253521,173.3349,0.0,0.0,99.59675492957747,3.0,10.703286004886461,35.0,32.43953522564557,143.80876741385168,240.01929999999993,3
T13,124.506,146.32987428571428,163.9887,0.0,0.0,94.94675428571428,3.0,8.698703280934916,45.0,34.22814100157569,141.32776572710907,188.41710000000012,3
T5,118.7381,139.33642058823528,161.9211,0.0,0.0,92.08763823529411,3.0,16.361667986893703,47.0,49.292442466248815,227.59597053837786,173.0370999999999,3
