section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,117.916,145.55581024604788,188.40125,100.0,16.381971938446263,68.60056393722913,2.5,29.50347377042148,76.75195,51.386142071945805,458.00980967431946,265.54492500000003,0
T13,132.8794,156.0736988703943,174.925625,0.0,0.0,84.6722869586296,2.0,17.069040761729354,67.0,33.92953398582078,141.37528441066578,190.7707499999999,1
T3,122.3335,159.15445253136727,190.10832499999998,0.0,0.0,99.6078,2.0,11.716427488715432,48.0,22.065606318317336,99.22316985851153,239.1515,1
T5,127.00082499999999,149.52124760125292,175.669475,0.0,0.0,93.45533203671329,2.0,22.25524531564937,64.25,35.700871705347986,176.055619728495,170.88867500000003,1
T10+T11,150.991825,189.5568977246342,252.97742499999998,98.62745,27.437092946966512,59.70294762830521,2.75,19.412682124570203,64.25,39.37683108200676,185.01102937046716,272.93359999999984,2
T1,134.32135,163.65669338541667,225.799175,100.0,35.875408489583336,45.53655192708334,2.5,24.634287639702393,73.25,44.69409159366006,207.3027620116397,179.96145,2
T2,83.9742,101.49984898620376,140.42115,95.784325,20.716459240450533,54.67690109998158,1.5,38.165981295642545,91.25,78.55176487469623,287.4157715348734,113.96307500000002,3
T12,71.6106,98.79624811128932,171.675425,100.0,26.660005125579932,52.44569607007847,1.5,44.7355843831689,119.5,53.682304786034024,273.1252515291831,177.15895,3
T4,73.092625,104.01306784631781,191.2909,100.0,24.381138212755182,50.98742754263229,1.5,45.29875155429218,115.75,70.21440994004706,381.98847536243034,225.074675,3
T6,84.933625,140.6463857207875,239.4617,100.0,25.345038702254627,61.75716726446308,1.5,30.51983722665313,98.0,37.94900537318618,345.45647523806355,359.7337500000001,4
T7+T8,75.205975,129.66558538210052,205.2472,100.0,19.747639048135543,66.04919049837048,1.5,35.85825296585507,108.75,38.80008991185922,277.87744657613905,377.59595,4
