section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,110.97125,134.84310677615414,174.97011666666666,100.0,15.443424809327189,68.5796889582979,2.8333333333333335,25.692776463760605,73.0,32.84610017262238,157.29949117433367,265.9214666666667,0
T6,82.19526666666667,131.05469548182393,217.92173333333335,100.0,26.6982707167694,59.609611245258414,2.0,28.64457465669371,96.83333333333333,32.20637121717774,253.71629703065162,362.46821666666665,0
T7+T8,76.57356666666666,120.54863833905813,182.68355,100.0,17.987012628579937,65.69599040657162,2.0,29.78795394651853,98.0,28.764114891745802,228.5552372946054,373.6760166666666,0
T12,66.2992,92.8141794039221,146.31111666666666,91.63396666666667,19.090738367451987,48.57561941697326,1.6666666666666667,37.273526107802496,116.33333333333333,39.083868991156955,211.389436657431,178.68656666666666,1
T2,84.93935,99.0104021952673,126.29636666666666,90.06535000000001,18.47392352143217,55.23829929724653,2.0,30.569715415438424,88.66666666666667,58.706794963572484,279.87826973867243,113.62356666666669,1
T4,69.51758333333333,96.99530604705275,167.05196666666666,100.0,20.547899191396425,49.430876032994796,1.8333333333333333,40.306061249615084,110.33333333333333,51.74448874826263,304.5027173920027,225.38251666666665,1
T1,120.76626666666668,149.19274800337178,205.40803333333335,100.0,40.83916816933091,35.82597481821244,2.8333333333333335,24.764804276042252,74.16666666666667,44.95457581677665,213.46513050658245,180.97068333333334,2
T10+T11,134.40906666666666,170.56648737914864,232.85013333333333,100.0,33.11208466149591,40.536734056637805,3.3333333333333335,19.81683272248048,67.5026,41.04867208891552,170.63575372510047,273.7121666666665,2
T3,115.37856666666666,143.78305488480797,170.59841666666668,0.0,0.0,97.73246916590563,2.1666666666666665,14.296776174983249,55.5,31.925263595841113,121.36014759018958,241.56679999999997,3
T13,122.13701666666667,141.05254378431061,160.1002,0.5228833333333334,0.008714722222222223,89.87475237922132,2.3333333333333335,17.229611151909275,64.66666666666667,41.12427505972881,161.87385164914545,190.44253333333336,3
T5,118.05903333333333,136.33874674661203,160.10401666666667,4.8366,0.28470112994350283,91.56163030759573,2.3333333333333335,18.98269937609496,58.666666666666664,33.31370159979647,182.12968323868964,173.3625166666667,3
