section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14,115.3353,144.5567252493846,193.51948,99.29411999999999,18.73336915746905,66.41201234133653,2.8,26.79611584687051,73.2,31.035306752941572,153.03611518643567,263.8419400000001,0
T6,82.61996,141.2589819603132,241.33058,99.21567999999999,26.439725227354455,60.2639760940858,2.0,31.82149185096723,103.8,28.53361058222622,159.66463205071136,362.34499999999997,0
T7+T8,77.3495,129.0334427916767,205.32996000000003,99.92156,18.253458209379936,63.453432173254875,2.0,33.69225009036452,105.4,29.400074671107383,162.71746688632825,373.99485999999996,0
T12,64.9897,96.39302019003527,165.47647999999998,98.11764000000001,24.531831763734736,50.95080004139519,1.8,43.18868011516459,123.6,44.2217527919273,239.17932287346352,175.35692,1
T2,87.36858,102.21246157259426,134.77532000000002,95.68628,15.456951573030036,51.917388053360355,2.0,33.63925071290883,84.0,61.84368034545994,220.9872965429243,113.21932,1
T4,70.93766000000001,100.79155083026113,184.34120000000001,99.92156,22.256155158858167,47.944960469150026,1.8,40.01574561790208,112.2,51.31463724125571,207.50441709809562,223.27918,1
T1,126.64377999999999,159.59171460966996,227.6814,99.76469999999999,34.3975521452929,38.98404995676532,3.0,19.960616650951433,61.0,41.69090660647517,178.9186554336295,180.79095999999998,2
T10+T11,151.71284,189.802357132626,254.64712,99.84313999999999,27.573059012011818,52.5259767353734,3.6,17.38936337375928,61.4,38.661731304113665,154.52145033331,269.42656,2
T3,123.53398,157.1157555552261,188.74342,0.0,0.0,95.24078112375781,2.4,15.01084109995853,54.8,32.57051092847115,168.27905484981068,239.69657999999998,3
T13,133.91165999999998,154.20389561063874,173.35927999999998,0.0,0.0,84.48709425598426,3.0,16.60470077894176,65.0,29.792215448683386,113.25210413005372,188.09143999999986,3
T5,126.93676,148.6499390547619,175.02098,0.0,0.0,93.11843786708684,2.4,23.554482352936127,66.2,32.89348504169078,158.4818883182225,172.32120000000003,3
