section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T1,111.0018,146.955978,220.8362,100.0,40.196078,47.082346,2.0,16.9017682103369,59.0,24.560045462438193,193.7607547169811,179.6148,0
T14,113.3974,141.19696274509803,185.7328,100.0,14.409845098039217,64.39828823529412,2.0,24.005053375379763,59.0,22.286364031257143,275.32996649345245,267.0775999999996,0
T2,92.1111,101.97909555555556,124.3992,85.098,10.030497777777777,44.45314666666666,1.0,16.591019427671515,52.0,26.134324390332576,314.4943091472097,114.21339999999998,0
T12,61.8524,96.33668113207548,163.508,87.8431,22.005179245283017,42.90047358490566,1.0,49.52764052140778,127.0,44.312031125607504,245.29308161732692,176.7817,1
T4,54.0017,99.71759047619048,186.0533,92.9412,28.86399523809524,46.610634920634915,1.0,44.43915516843122,127.0,46.56738572915601,267.6884558126912,220.10839999999996,1
T10+T11,151.6747,171.80982500000002,212.0623,100.0,15.606059090909092,66.10515681818181,3.0,14.955557882385486,37.0,34.34040677051922,128.67413582014555,275.85429999999997,2
T5,119.8825,132.1834027777778,156.7025,0.0,0.0,79.97818333333333,2.0,26.049350862523568,55.0,58.11006367649876,252.90982532415123,175.57920000000013,3
T6,64.2176,131.57744342105264,229.7246,100.0,28.302373684210526,57.693480263157895,1.0,41.078025944682466,127.0,34.044717199016205,270.4345994661025,359.4628,4
T7+T8,81.6434,123.05978823529412,199.4965,93.3333,15.57093411764706,60.572063529411764,1.0,44.72977034555477,116.0,31.021399270155175,179.292178350491,375.04659999999967,4
T13,128.9082,145.34000285714285,169.7566,81.9608,2.341737142857143,91.38371714285715,2.0,13.934492275492662,43.0,30.554498727907244,151.73071180323197,190.3177999999998,5
T3,117.8607,145.39848965517243,179.675,0.0,0.0,87.65378275862068,2.0,14.691280971786988,50.0,22.403850396917598,105.9241348465638,241.15529999999995,5
