section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,99.47963999999999,117.52058514101819,143.06554,17.64704,0.7340979330342489,83.31750876331911,2.2,40.39862638050931,76.7625,97.50213736381714,475.8022217210515,120.51919999999991,0
T16+T17,148.53438,161.8819611777269,170.88578,91.37256,9.817087858632087,63.6986717065853,3.0,28.95118003314053,52.125,72.0337251277148,327.60941495558967,168.92004000000006,0
T19,257.6608,259.2146003225806,260.43032,0.0,0.0,99.68624000000001,6.0,6.795208677321291,22.16094,28.843200237878545,104.44199700910448,214.9999600000001,1
T10,195.79461999999998,200.1018685211829,205.32234,0.70588,0.0385727868852459,83.49899695306974,5.0,19.94738984002729,63.993759999999995,48.52191019003836,220.8678767119346,276.95931999999993,1
T8+T9,183.1052,192.5486846710774,199.97862,0.0,0.0,95.21299809117448,4.4,17.512784771735564,57.9125,45.74161892712267,237.78818116518215,324.25324,1
T6+T7,153.78348,164.8404834464951,179.96034,0.0,0.0,99.68624,4.0,22.320915628022554,44.25,37.15334575217433,188.30481068320674,255.94246000000004,1
T2,128.97688,156.5912761303573,225.19264000000004,100.0,18.983469820445237,72.00470460621361,3.0,21.204859112952406,68.15,28.011296787147547,167.10926188663834,355.6330800000001,2
T1,101.35958000000001,135.02115495464983,188.69153999999997,100.0,17.741384939217134,73.34597175024287,2.0,23.885441181855487,71.88124,32.33568241234899,249.64570666876457,316.30625999999995,2
T3-T5,91.899,130.56213863872065,176.22186000000002,98.19608000000001,12.676731282324683,76.15652399156443,2.0,33.3474544176222,79.0375,44.11533930767656,329.5100908463581,405.2145799999999,2
T11-T13,103.14488000000001,152.51008506737884,210.76218,100.0,33.00576017643311,16.608333250768048,2.2,30.17523910001055,71.5,86.63041379158905,500.4147737828622,270.33513999999997,3
T18,85.75417999999999,113.78981173954813,149.88938,100.0,23.287447697489725,62.72260159196967,1.6,36.10222056350081,104.725,49.68932277792152,328.3249359206071,204.92667999999995,3
T21,95.35972,121.46511786803066,195.2041,100.0,29.04603409072667,57.37565543843925,2.0,29.403481975280823,85.5,55.830004125798496,341.90472357601425,207.0765400000002,3
T20,110.21746,149.99636435588454,260.96590000000003,100.0,28.251589042614306,65.41259813421586,2.8,28.458793898452974,70.02655999999999,52.75072148308044,439.1912502420381,357.06395999999984,3
