section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,97.0092,120.45315641025641,153.7881,45.098,5.077928205128205,81.69931282051282,2.0,57.55234664710376,96.0,76.41392063000328,362.6147106150171,119.7501000000002,0
T16+T17,159.6323,175.72629166666667,187.2358,94.902,13.159044444444444,66.27448333333332,3.0,36.781232005741174,61.0,68.50870373635811,333.5403136742911,171.08650000000034,0
T10,221.5534,224.7217918367347,231.3725,0.0,0.0,86.99476734693877,5.0,16.49025351684997,64.0078,76.03337145187207,548.0737402446415,274.576,1
T6+T7,174.7082,185.49488703703705,202.6093,0.0,0.0,99.60780000000001,3.0,30.62082151113656,71.0,54.85331425975313,173.93141542633842,253.87829999999985,1
T8+T9,206.9886,214.9306879310345,223.27,0.0,0.0,91.65648793103448,4.0,20.498865488436124,64.0078,46.50917267088481,163.19275129532306,319.6188000000002,1
T3-T5,92.0653,139.92179292035397,197.1923,100.0,14.416103539823009,77.59150265486726,2.0,41.305217228841684,91.0,63.45769266607288,484.90270350498633,404.9357,2
T18,89.2271,118.95332727272728,166.3462,100.0,17.46880606060606,63.24418636363636,1.0,46.25388527392373,127.0,42.15214051269825,420.55087765433103,207.34799999999996,2
T1,101.709,144.49344069767443,211.6045,100.0,19.808482558139534,72.36203488372094,2.0,29.45823310182086,82.0,38.05145346290449,479.82638626494685,318.50399999999996,2
T21,97.9171,127.990171875,206.63,100.0,29.1299015625,60.716890625,2.0,30.860615783601485,77.0,66.0082660957465,476.109710379464,207.41759999999977,2
T19,279.2859,280.8878133333334,282.0172,0.0,0.0,99.6078,6.0,4.069796172197066,18.0,46.63106946058324,127.7273505779136,215.5551999999998,3
T20,114.5342,160.42723372093022,279.942,100.0,29.430003488372094,68.41310581395349,2.0,33.14427449931558,79.0,56.03672895010669,439.21340670979487,354.9403000000002,4
T2,135.3857,171.27005975609757,252.079,100.0,21.4060256097561,73.16114268292684,3.0,25.69867632544585,80.0,37.24529607794725,226.64119779885502,359.47130000000016,4
T11-T13,107.332,164.35328923076924,237.8271,100.0,39.78883692307692,25.514326153846152,2.0,46.27305698719589,127.0,132.4055715742921,854.6320913240701,269.7049000000002,5
