section,speed_min,speed_mean,speed_max,brake_max,brake_mean,throttle_mean,gear_min,steering_std,steering_angle_max,hand_speed_mean,hand_speed_max,curve_length,cluster
T14+T15,93.86085714285714,115.63308775054952,147.61223785714284,43.72829285714286,3.6916154277121302,74.54062159497398,1.7142857142857142,56.954913079320036,104.90714285714286,86.77400801288317,368.0625162330766,119.76566928571428,0
T16+T17,153.28336,169.06993610337142,181.18180785714284,85.97479142857142,11.503239962042375,63.75855473239391,2.65,27.262193486674523,47.48066428571428,53.2741331588206,205.66840510711194,167.65753785714287,0
T10,210.0312807142857,216.01494149064058,223.1952342857143,3.627452142857143,0.2377570416847407,79.99478620054987,4.678571428571429,17.26518539864594,53.774970714285715,41.1102468169087,172.22442154257791,274.86186214285715,1
T6+T7,166.01777714285714,177.52570719736332,194.75939642857142,1.7591042857142856,0.3632683449418437,94.59093181449056,3.164285714285714,26.50219516963116,52.67324357142857,40.91890286722313,494.37778949564046,253.82700642857148,1
T8+T9,195.88088071428572,207.22752166083527,216.73249857142858,1.6078435714285713,0.1588669474440875,90.80817436171715,3.9785714285714286,16.39737084611816,51.69757071428571,38.17504702704033,176.27647828389385,320.82110785714286,1
T18,85.39297428571429,116.36248165012925,160.26736428571428,94.736695,20.042876049023846,59.542900326086084,1.3571428571428572,42.38192465009917,115.77901785714286,46.825331919233676,268.4373259912373,202.20517571428573,2
T11-T13,104.76953428571429,154.51786152526927,223.61698785714285,97.60503928571428,33.52056066390644,19.45287463069364,1.8071428571428572,32.247708893510996,75.06512214285713,63.31331469719572,319.3788228997423,269.2271535714286,2
T1,101.09237999999999,139.62945361763528,206.11096714285713,99.35294142857143,19.176995582375874,68.94548393097496,1.8642857142857143,26.708204327185225,79.81679642857144,32.578601878745154,241.61938586100842,315.8952914285714,2
T3-T5,90.15449571428572,135.93794291308555,191.9995292857143,95.04201785714285,12.885879321463309,70.5077587576357,1.5857142857142856,35.92713289412965,90.046875,43.04671057132858,249.9115186259252,404.4105364285714,2
T2,131.42693714285713,164.55673267092308,247.71463571428572,99.05882357142858,20.385027869717945,68.74612053263412,2.7214285714285715,21.137118935149328,66.01422857142857,31.03645021590133,181.19081409685126,354.7868507142857,2
T21,94.18157357142857,123.63797506488713,201.53402142857144,99.19607928571429,29.110201205874933,53.52515940677498,1.7428571428571429,30.44011286360653,86.91104928571428,43.9962123365053,251.10886065979008,205.03930642857154,2
T20,109.271,153.88732128836492,273.9538807142857,99.55462071428572,28.56952122665311,60.59615004132707,2.1357142857142857,29.89228044073015,68.57538928571428,39.79137163863618,271.47252241127586,354.43839357142855,2
T19,276.58448571428573,278.81775226369416,280.45482928571425,0.9103642857142856,0.07517674149659863,99.02415632287436,5.985714285714286,6.386381010209045,20.914664285714284,26.720413055783027,92.63212378755554,212.85077214285712,3
